PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	nonoverlap.noca_only.csv (440)	nonoverlap.noca_only.csv (expected)	nonoverlap.noca_only.csv (over/under)	nonoverlap.noca_only.csv (fold Enrichment)	P-value
response to oxygen levels (GO:0070482)	17	0	0.6	-	 < 0.01	1.00E+00
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)"	13	0	0.46	-	 < 0.01	1.00E+00
establishment of protein localization to mitochondrion (GO:0072655)	20	0	0.71	-	 < 0.01	1.00E+00
sulfur compound catabolic process (GO:0044273)	7	0	0.25	-	 < 0.01	1.00E+00
glycogen biosynthetic process (GO:0005978)	2	0	0.07	-	 < 0.01	1.00E+00
vesicle cytoskeletal trafficking (GO:0099518)	17	0	0.6	-	 < 0.01	1.00E+00
glycogen metabolic process (GO:0005977)	6	0	0.21	-	 < 0.01	1.00E+00
polysaccharide metabolic process (GO:0005976)	13	0	0.46	-	 < 0.01	1.00E+00
carbohydrate metabolic process (GO:0005975)	86	0	3.04	-	 < 0.01	7.71E-02
lysine biosynthetic process (GO:0009085)	1	0	0.04	-	 < 0.01	1.00E+00
branched-chain amino acid biosynthetic process (GO:0009082)	3	0	0.11	-	 < 0.01	1.00E+00
branched-chain amino acid metabolic process (GO:0009081)	12	0	0.42	-	 < 0.01	1.00E+00
rRNA base methylation (GO:0070475)	5	0	0.18	-	 < 0.01	1.00E+00
ncRNA transcription (GO:0098781)	16	0	0.57	-	 < 0.01	1.00E+00
regulation of proteasomal protein catabolic process (GO:0061136)	32	0	1.13	-	 < 0.01	6.29E-01
receptor signaling pathway via STAT (GO:0097696)	11	0	0.39	-	 < 0.01	1.00E+00
cardiac muscle contraction (GO:0060048)	15	0	0.53	-	 < 0.01	1.00E+00
vesicle fusion to plasma membrane (GO:0099500)	6	0	0.21	-	 < 0.01	1.00E+00
retina development in camera-type eye (GO:0060041)	2	0	0.07	-	 < 0.01	1.00E+00
multicellular organismal reproductive process (GO:0048609)	29	0	1.03	-	 < 0.01	6.25E-01
peptide catabolic process (GO:0043171)	12	0	0.42	-	 < 0.01	1.00E+00
reproductive structure development (GO:0048608)	2	0	0.07	-	 < 0.01	1.00E+00
MAPK cascade (GO:0000165)	19	0	0.67	-	 < 0.01	1.00E+00
positive regulation of leukocyte activation (GO:0002696)	8	0	0.28	-	 < 0.01	1.00E+00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	5	0	0.18	-	 < 0.01	1.00E+00
negative regulation of leukocyte activation (GO:0002695)	6	0	0.21	-	 < 0.01	1.00E+00
regulation of leukocyte activation (GO:0002694)	14	0	0.5	-	 < 0.01	1.00E+00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	9	0	0.32	-	 < 0.01	1.00E+00
microtubule polymerization (GO:0046785)	19	0	0.67	-	 < 0.01	1.00E+00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	11	0	0.39	-	 < 0.01	1.00E+00
positive regulation of leukocyte chemotaxis (GO:0002690)	7	0	0.25	-	 < 0.01	1.00E+00
aspartate family amino acid biosynthetic process (GO:0009067)	10	0	0.35	-	 < 0.01	1.00E+00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	12	0	0.42	-	 < 0.01	1.00E+00
aspartate family amino acid metabolic process (GO:0009066)	14	0	0.5	-	 < 0.01	1.00E+00
negative regulation of DNA metabolic process (GO:0051053)	16	0	0.57	-	 < 0.01	1.00E+00
fatty acid catabolic process (GO:0009062)	32	0	1.13	-	 < 0.01	6.29E-01
aerobic respiration (GO:0009060)	30	0	1.06	-	 < 0.01	6.26E-01
cellular respiration (GO:0045333)	35	0	1.24	-	 < 0.01	6.36E-01
intraciliary transport (GO:0042073)	19	0	0.67	-	 < 0.01	1.00E+00
rRNA modification (GO:0000154)	18	0	0.64	-	 < 0.01	1.00E+00
protein O-linked mannosylation (GO:0035269)	5	0	0.18	-	 < 0.01	1.00E+00
positive regulation of leukocyte migration (GO:0002687)	12	0	0.42	-	 < 0.01	1.00E+00
regulation of leukocyte migration (GO:0002685)	15	0	0.53	-	 < 0.01	1.00E+00
DNA biosynthetic process (GO:0071897)	20	0	0.71	-	 < 0.01	1.00E+00
detoxification (GO:0098754)	7	0	0.25	-	 < 0.01	1.00E+00
protein localization to lysosome (GO:0061462)	6	0	0.21	-	 < 0.01	1.00E+00
stress fiber assembly (GO:0043149)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of double-strand break repair via homologous recombination (GO:0010569)	7	0	0.25	-	 < 0.01	1.00E+00
regulation of cell cycle process (GO:0010564)	106	0	3.75	-	 < 0.01	5.58E-02
neuron projection extension (GO:1990138)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	10	0	0.35	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	0.04	-	 < 0.01	1.00E+00
reproductive system development (GO:0061458)	2	0	0.07	-	 < 0.01	1.00E+00
establishment of mitotic spindle orientation (GO:0000132)	9	0	0.32	-	 < 0.01	1.00E+00
mRNA transport (GO:0051028)	30	0	1.06	-	 < 0.01	6.26E-01
import across plasma membrane (GO:0098739)	69	0	2.44	-	 < 0.01	1.80E-01
microtubule bundle formation (GO:0001578)	22	0	0.78	-	 < 0.01	1.00E+00
kinetochore organization (GO:0051383)	8	0	0.28	-	 < 0.01	1.00E+00
kinetochore assembly (GO:0051382)	6	0	0.21	-	 < 0.01	1.00E+00
fluid transport (GO:0042044)	7	0	0.25	-	 < 0.01	1.00E+00
vasculogenesis (GO:0001570)	4	0	0.14	-	 < 0.01	1.00E+00
exocytic process (GO:0140029)	14	0	0.5	-	 < 0.01	1.00E+00
tube morphogenesis (GO:0035239)	40	0	1.42	-	 < 0.01	4.04E-01
RNA stabilization (GO:0043489)	12	0	0.42	-	 < 0.01	1.00E+00
establishment of protein localization to extracellular region (GO:0035592)	21	0	0.74	-	 < 0.01	1.00E+00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	0.18	-	 < 0.01	1.00E+00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	23	0	0.81	-	 < 0.01	1.00E+00
actin filament bundle assembly (GO:0051017)	20	0	0.71	-	 < 0.01	1.00E+00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	32	0	1.13	-	 < 0.01	6.29E-01
regulation of RNA splicing (GO:0043484)	59	0	2.09	-	 < 0.01	2.74E-01
barbed-end actin filament capping (GO:0051016)	17	0	0.6	-	 < 0.01	1.00E+00
blood vessel development (GO:0001568)	38	0	1.35	-	 < 0.01	6.45E-01
toll-like receptor 4 signaling pathway (GO:0034142)	4	0	0.14	-	 < 0.01	1.00E+00
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)"	5	0	0.18	-	 < 0.01	1.00E+00
meiotic nuclear division (GO:0140013)	35	0	1.24	-	 < 0.01	6.36E-01
snRNA processing (GO:0016180)	21	0	0.74	-	 < 0.01	1.00E+00
bone development (GO:0060348)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of protein localization to membrane (GO:1905475)	10	0	0.35	-	 < 0.01	1.00E+00
receptor clustering (GO:0043113)	9	0	0.32	-	 < 0.01	1.00E+00
regulation of cellular localization (GO:0060341)	47	0	1.66	-	 < 0.01	4.15E-01
regulation of cell growth (GO:0001558)	11	0	0.39	-	 < 0.01	1.00E+00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	0.32	-	 < 0.01	1.00E+00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	0.35	-	 < 0.01	1.00E+00
insulin receptor signaling pathway (GO:0008286)	8	0	0.28	-	 < 0.01	1.00E+00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	0.32	-	 < 0.01	1.00E+00
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)"	7	0	0.25	-	 < 0.01	1.00E+00
negative regulation of cell population proliferation (GO:0008285)	14	0	0.5	-	 < 0.01	1.00E+00
regulation of sister chromatid segregation (GO:0033045)	19	0	0.67	-	 < 0.01	1.00E+00
cell population proliferation (GO:0008283)	9	0	0.32	-	 < 0.01	1.00E+00
triglyceride catabolic process (GO:0019433)	3	0	0.11	-	 < 0.01	1.00E+00
triglyceride biosynthetic process (GO:0019432)	10	0	0.35	-	 < 0.01	1.00E+00
secondary metabolite biosynthetic process (GO:0044550)	4	0	0.14	-	 < 0.01	1.00E+00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	0.07	-	 < 0.01	1.00E+00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	0.07	-	 < 0.01	1.00E+00
positive regulation of myeloid cell differentiation (GO:0045639)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of myeloid cell differentiation (GO:0045637)	5	0	0.18	-	 < 0.01	1.00E+00
negative regulation of lyase activity (GO:0051350)	2	0	0.07	-	 < 0.01	1.00E+00
cell chemotaxis (GO:0060326)	15	0	0.53	-	 < 0.01	1.00E+00
regulation of phospholipase activity (GO:0010517)	1	0	0.04	-	 < 0.01	1.00E+00
cilium or flagellum-dependent cell motility (GO:0001539)	13	0	0.46	-	 < 0.01	1.00E+00
tricarboxylic acid cycle (GO:0006099)	18	0	0.64	-	 < 0.01	1.00E+00
negative regulation of hydrolase activity (GO:0051346)	26	0	0.92	-	 < 0.01	1.00E+00
glycolytic process (GO:0006096)	17	0	0.6	-	 < 0.01	1.00E+00
snRNA 3'-end processing (GO:0034472)	19	0	0.67	-	 < 0.01	1.00E+00
amino acid import across plasma membrane (GO:0089718)	10	0	0.35	-	 < 0.01	1.00E+00
generation of precursor metabolites and energy (GO:0006091)	68	0	2.41	-	 < 0.01	1.78E-01
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)"	2	0	0.07	-	 < 0.01	1.00E+00
epidermal growth factor receptor signaling pathway (GO:0007173)	12	0	0.42	-	 < 0.01	1.00E+00
liver development (GO:0001889)	2	0	0.07	-	 < 0.01	1.00E+00
angiogenesis (GO:0001525)	33	0	1.17	-	 < 0.01	6.31E-01
regulation of tissue remodeling (GO:0034103)	4	0	0.14	-	 < 0.01	1.00E+00
regulation of autophagosome maturation (GO:1901096)	5	0	0.18	-	 < 0.01	1.00E+00
pseudouridine synthesis (GO:0001522)	11	0	0.39	-	 < 0.01	1.00E+00
tetrapyrrole metabolic process (GO:0033013)	14	0	0.5	-	 < 0.01	1.00E+00
negative regulation of cell adhesion (GO:0007162)	10	0	0.35	-	 < 0.01	1.00E+00
response to peptide hormone (GO:0043434)	36	0	1.27	-	 < 0.01	6.39E-01
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	0.28	-	 < 0.01	1.00E+00
meiotic cell cycle (GO:0051321)	53	0	1.88	-	 < 0.01	2.65E-01
mitophagy (GO:0000423)	11	0	0.39	-	 < 0.01	1.00E+00
secretory granule organization (GO:0033363)	2	0	0.07	-	 < 0.01	1.00E+00
leukocyte cell-cell adhesion (GO:0007159)	1	0	0.04	-	 < 0.01	1.00E+00
protein transmembrane transport (GO:0071806)	27	0	0.96	-	 < 0.01	1.00E+00
negative regulation of protein polymerization (GO:0032272)	23	0	0.81	-	 < 0.01	1.00E+00
action potential (GO:0001508)	33	0	1.17	-	 < 0.01	6.31E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	0.18	-	 < 0.01	1.00E+00
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	0.46	-	 < 0.01	1.00E+00
ossification (GO:0001503)	12	0	0.42	-	 < 0.01	1.00E+00
metaphase chromosome alignment (GO:0051310)	9	0	0.32	-	 < 0.01	1.00E+00
skeletal system development (GO:0001501)	31	0	1.1	-	 < 0.01	6.27E-01
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	0.11	-	 < 0.01	1.00E+00
lipid oxidation (GO:0034440)	25	0	0.88	-	 < 0.01	1.00E+00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	0.07	-	 < 0.01	1.00E+00
myeloid cell differentiation (GO:0030099)	10	0	0.35	-	 < 0.01	1.00E+00
muscle cell differentiation (GO:0042692)	41	0	1.45	-	 < 0.01	4.04E-01
phytosteroid metabolic process (GO:0016128)	1	0	0.04	-	 < 0.01	1.00E+00
secondary metabolic process (GO:0019748)	5	0	0.18	-	 < 0.01	1.00E+00
protein peptidyl-prolyl isomerization (GO:0000413)	17	0	0.6	-	 < 0.01	1.00E+00
sterol biosynthetic process (GO:0016126)	12	0	0.42	-	 < 0.01	1.00E+00
regulation of Notch signaling pathway (GO:0008593)	13	0	0.46	-	 < 0.01	1.00E+00
sterol metabolic process (GO:0016125)	21	0	0.74	-	 < 0.01	1.00E+00
male meiotic nuclear division (GO:0007140)	4	0	0.14	-	 < 0.01	1.00E+00
telomere maintenance via telomere lengthening (GO:0010833)	8	0	0.28	-	 < 0.01	1.00E+00
mitotic sister chromatid separation (GO:0051306)	1	0	0.04	-	 < 0.01	1.00E+00
chromosome separation (GO:0051304)	2	0	0.07	-	 < 0.01	1.00E+00
establishment of chromosome localization (GO:0051303)	13	0	0.46	-	 < 0.01	1.00E+00
regulation of cell division (GO:0051302)	8	0	0.28	-	 < 0.01	1.00E+00
oligosaccharide biosynthetic process (GO:0009312)	2	0	0.07	-	 < 0.01	1.00E+00
positive regulation of transcription by RNA polymerase I (GO:0045943)	5	0	0.18	-	 < 0.01	1.00E+00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	0.11	-	 < 0.01	1.00E+00
carotenoid biosynthetic process (GO:0016117)	1	0	0.04	-	 < 0.01	1.00E+00
male gonad development (GO:0008584)	1	0	0.04	-	 < 0.01	1.00E+00
cholesterol efflux (GO:0033344)	8	0	0.28	-	 < 0.01	1.00E+00
terpenoid biosynthetic process (GO:0016114)	6	0	0.21	-	 < 0.01	1.00E+00
antimicrobial humoral response (GO:0019730)	1	0	0.04	-	 < 0.01	1.00E+00
mesoderm development (GO:0007498)	7	0	0.25	-	 < 0.01	1.00E+00
reciprocal meiotic recombination (GO:0007131)	23	0	0.81	-	 < 0.01	1.00E+00
regulation of MAP kinase activity (GO:0043405)	20	0	0.71	-	 < 0.01	1.00E+00
amine metabolic process (GO:0009308)	19	0	0.67	-	 < 0.01	1.00E+00
regulation of centrosome duplication (GO:0010824)	6	0	0.21	-	 < 0.01	1.00E+00
protein secretion (GO:0009306)	21	0	0.74	-	 < 0.01	1.00E+00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	0.11	-	 < 0.01	1.00E+00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of mitochondrion organization (GO:0010821)	11	0	0.39	-	 < 0.01	1.00E+00
rRNA transcription (GO:0009303)	7	0	0.25	-	 < 0.01	1.00E+00
rRNA methylation (GO:0031167)	11	0	0.39	-	 < 0.01	1.00E+00
spindle localization (GO:0051653)	18	0	0.64	-	 < 0.01	1.00E+00
maintenance of location in cell (GO:0051651)	18	0	0.64	-	 < 0.01	1.00E+00
regulation of blood pressure (GO:0008217)	14	0	0.5	-	 < 0.01	1.00E+00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	0.53	-	 < 0.01	1.00E+00
negative regulation of mitotic cell cycle (GO:0045930)	37	0	1.31	-	 < 0.01	6.42E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	0.32	-	 < 0.01	1.00E+00
insulin secretion (GO:0030073)	2	0	0.07	-	 < 0.01	1.00E+00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	0.21	-	 < 0.01	1.00E+00
peptide hormone secretion (GO:0030072)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	0.57	-	 < 0.01	1.00E+00
cell cycle G1/S phase transition (GO:0044843)	17	0	0.6	-	 < 0.01	1.00E+00
meiosis I (GO:0007127)	28	0	0.99	-	 < 0.01	6.25E-01
release of cytochrome c from mitochondria (GO:0001836)	5	0	0.18	-	 < 0.01	1.00E+00
positive regulation of growth (GO:0045927)	4	0	0.14	-	 < 0.01	1.00E+00
mitochondrial transcription (GO:0006390)	6	0	0.21	-	 < 0.01	1.00E+00
cholesterol metabolic process (GO:0008203)	15	0	0.53	-	 < 0.01	1.00E+00
cell cycle G2/M phase transition (GO:0044839)	4	0	0.14	-	 < 0.01	1.00E+00
steroid metabolic process (GO:0008202)	28	0	0.99	-	 < 0.01	6.25E-01
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	0.25	-	 < 0.01	1.00E+00
left/right pattern formation (GO:0060972)	2	0	0.07	-	 < 0.01	1.00E+00
glucose transmembrane transport (GO:1904659)	7	0	0.25	-	 < 0.01	1.00E+00
"tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)"	4	0	0.14	-	 < 0.01	1.00E+00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	9	0	0.32	-	 < 0.01	1.00E+00
kidney development (GO:0001822)	8	0	0.28	-	 < 0.01	1.00E+00
transcription by RNA polymerase III (GO:0006383)	15	0	0.53	-	 < 0.01	1.00E+00
adenosine to inosine editing (GO:0006382)	4	0	0.14	-	 < 0.01	1.00E+00
negative regulation of DNA recombination (GO:0045910)	6	0	0.21	-	 < 0.01	1.00E+00
mitotic DNA replication checkpoint signaling (GO:0033314)	4	0	0.14	-	 < 0.01	1.00E+00
DNA synthesis involved in DNA repair (GO:0000731)	14	0	0.5	-	 < 0.01	1.00E+00
somatic cell DNA recombination (GO:0016444)	2	0	0.07	-	 < 0.01	1.00E+00
L-alpha-amino acid transmembrane transport (GO:1902475)	15	0	0.53	-	 < 0.01	1.00E+00
regulation of cellular response to growth factor stimulus (GO:0090287)	46	0	1.63	-	 < 0.01	4.12E-01
positive regulation of cytokine production (GO:0001819)	9	0	0.32	-	 < 0.01	1.00E+00
mRNA polyadenylation (GO:0006378)	5	0	0.18	-	 < 0.01	1.00E+00
response to toxic substance (GO:0009636)	9	0	0.32	-	 < 0.01	1.00E+00
cytokine production (GO:0001816)	5	0	0.18	-	 < 0.01	1.00E+00
mRNA splice site recognition (GO:0006376)	12	0	0.42	-	 < 0.01	1.00E+00
negative regulation of chromosome segregation (GO:0051985)	9	0	0.32	-	 < 0.01	1.00E+00
iron ion transmembrane transport (GO:0034755)	4	0	0.14	-	 < 0.01	1.00E+00
regulation of chromosome segregation (GO:0051983)	21	0	0.74	-	 < 0.01	1.00E+00
DNA double-strand break processing (GO:0000729)	4	0	0.14	-	 < 0.01	1.00E+00
double-strand break repair via break-induced replication (GO:0000727)	9	0	0.32	-	 < 0.01	1.00E+00
actin filament-based movement (GO:0030048)	16	0	0.57	-	 < 0.01	1.00E+00
recombinational repair (GO:0000725)	57	0	2.02	-	 < 0.01	2.70E-01
epidermis development (GO:0008544)	4	0	0.14	-	 < 0.01	1.00E+00
mitotic G2/M transition checkpoint (GO:0044818)	12	0	0.42	-	 < 0.01	1.00E+00
double-strand break repair via homologous recombination (GO:0000724)	57	0	2.02	-	 < 0.01	2.70E-01
telomere maintenance (GO:0000723)	26	0	0.92	-	 < 0.01	1.00E+00
regulation of peptide hormone secretion (GO:0090276)	6	0	0.21	-	 < 0.01	1.00E+00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	0.32	-	 < 0.01	1.00E+00
glucose metabolic process (GO:0006006)	17	0	0.6	-	 < 0.01	1.00E+00
cell-cell recognition (GO:0009988)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of potassium ion transmembrane transport (GO:1901379)	14	0	0.5	-	 < 0.01	1.00E+00
mRNA 3'-end processing (GO:0031124)	17	0	0.6	-	 < 0.01	1.00E+00
RNA 3'-end processing (GO:0031123)	43	0	1.52	-	 < 0.01	4.06E-01
transcription elongation by RNA polymerase I (GO:0006362)	3	0	0.11	-	 < 0.01	1.00E+00
transcription by RNA polymerase I (GO:0006360)	11	0	0.39	-	 < 0.01	1.00E+00
contractile actin filament bundle assembly (GO:0030038)	5	0	0.18	-	 < 0.01	1.00E+00
respiratory chain complex IV assembly (GO:0008535)	1	0	0.04	-	 < 0.01	1.00E+00
resolution of meiotic recombination intermediates (GO:0000712)	13	0	0.46	-	 < 0.01	1.00E+00
regulation of postsynapse organization (GO:0099175)	10	0	0.35	-	 < 0.01	1.00E+00
postsynapse organization (GO:0099173)	5	0	0.18	-	 < 0.01	1.00E+00
homologous recombination (GO:0035825)	23	0	0.81	-	 < 0.01	1.00E+00
quaternary ammonium group transport (GO:0015697)	5	0	0.18	-	 < 0.01	1.00E+00
telomere organization (GO:0032200)	26	0	0.92	-	 < 0.01	1.00E+00
organic cation transport (GO:0015695)	6	0	0.21	-	 < 0.01	1.00E+00
defense response to virus (GO:0051607)	3	0	0.11	-	 < 0.01	1.00E+00
response to bacterium (GO:0009617)	15	0	0.53	-	 < 0.01	1.00E+00
response to virus (GO:0009615)	3	0	0.11	-	 < 0.01	1.00E+00
"regulation of synaptic transmission, glutamatergic (GO:0051966)"	13	0	0.46	-	 < 0.01	1.00E+00
regulation of transcription by RNA polymerase I (GO:0006356)	6	0	0.21	-	 < 0.01	1.00E+00
response to mechanical stimulus (GO:0009612)	10	0	0.35	-	 < 0.01	1.00E+00
regulation of microtubule polymerization or depolymerization (GO:0031110)	22	0	0.78	-	 < 0.01	1.00E+00
sodium ion homeostasis (GO:0055078)	13	0	0.46	-	 < 0.01	1.00E+00
positive regulation of T cell activation (GO:0050870)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of muscle system process (GO:0090257)	9	0	0.32	-	 < 0.01	1.00E+00
response to biotic stimulus (GO:0009607)	44	0	1.56	-	 < 0.01	4.08E-01
microtubule polymerization or depolymerization (GO:0031109)	29	0	1.03	-	 < 0.01	6.25E-01
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	0.07	-	 < 0.01	1.00E+00
negative regulation of T cell activation (GO:0050868)	4	0	0.14	-	 < 0.01	1.00E+00
positive regulation of cell activation (GO:0050867)	8	0	0.28	-	 < 0.01	1.00E+00
negative regulation of cell activation (GO:0050866)	6	0	0.21	-	 < 0.01	1.00E+00
regulation of cell activation (GO:0050865)	16	0	0.57	-	 < 0.01	1.00E+00
regulation of T cell activation (GO:0050863)	8	0	0.28	-	 < 0.01	1.00E+00
response to lipid (GO:0033993)	34	0	1.2	-	 < 0.01	6.33E-01
adenosine metabolic process (GO:0046085)	4	0	0.14	-	 < 0.01	1.00E+00
establishment of cell polarity (GO:0030010)	23	0	0.81	-	 < 0.01	1.00E+00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	0.21	-	 < 0.01	1.00E+00
mRNA stabilization (GO:0048255)	11	0	0.39	-	 < 0.01	1.00E+00
nucleosome assembly (GO:0006334)	9	0	0.32	-	 < 0.01	1.00E+00
cholesterol biosynthetic process (GO:0006695)	7	0	0.25	-	 < 0.01	1.00E+00
dorsal/ventral pattern formation (GO:0009953)	7	0	0.25	-	 < 0.01	1.00E+00
steroid biosynthetic process (GO:0006694)	15	0	0.53	-	 < 0.01	1.00E+00
anterior/posterior pattern specification (GO:0009952)	29	0	1.03	-	 < 0.01	6.25E-01
regulation of systemic arterial blood pressure (GO:0003073)	9	0	0.32	-	 < 0.01	1.00E+00
prostaglandin metabolic process (GO:0006693)	5	0	0.18	-	 < 0.01	1.00E+00
icosanoid metabolic process (GO:0006690)	10	0	0.35	-	 < 0.01	1.00E+00
regulation of cell adhesion mediated by integrin (GO:0033628)	6	0	0.21	-	 < 0.01	1.00E+00
B cell receptor signaling pathway (GO:0050853)	10	0	0.35	-	 < 0.01	1.00E+00
T cell receptor signaling pathway (GO:0050852)	18	0	0.64	-	 < 0.01	1.00E+00
antigen receptor-mediated signaling pathway (GO:0050851)	24	0	0.85	-	 < 0.01	1.00E+00
synapse assembly (GO:0007416)	22	0	0.78	-	 < 0.01	1.00E+00
macrophage chemotaxis (GO:0048246)	1	0	0.04	-	 < 0.01	1.00E+00
sensory organ morphogenesis (GO:0090596)	10	0	0.35	-	 < 0.01	1.00E+00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	0.39	-	 < 0.01	1.00E+00
sperm capacitation (GO:0048240)	1	0	0.04	-	 < 0.01	1.00E+00
positive regulation of establishment of protein localization (GO:1904951)	6	0	0.21	-	 < 0.01	1.00E+00
liposaccharide metabolic process (GO:1903509)	39	0	1.38	-	 < 0.01	4.04E-01
membrane protein proteolysis (GO:0033619)	14	0	0.5	-	 < 0.01	1.00E+00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	0.04	-	 < 0.01	1.00E+00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	0.11	-	 < 0.01	1.00E+00
protein localization to cell junction (GO:1902414)	19	0	0.67	-	 < 0.01	1.00E+00
mitotic cytokinetic process (GO:1902410)	3	0	0.11	-	 < 0.01	1.00E+00
male gamete generation (GO:0048232)	17	0	0.6	-	 < 0.01	1.00E+00
regulation of protein localization (GO:0032880)	37	0	1.31	-	 < 0.01	6.42E-01
camera-type eye morphogenesis (GO:0048593)	6	0	0.21	-	 < 0.01	1.00E+00
eye morphogenesis (GO:0048592)	8	0	0.28	-	 < 0.01	1.00E+00
regulation of calcium ion transport (GO:0051924)	19	0	0.67	-	 < 0.01	1.00E+00
P-body assembly (GO:0033962)	10	0	0.35	-	 < 0.01	1.00E+00
developmental growth (GO:0048589)	7	0	0.25	-	 < 0.01	1.00E+00
developmental cell growth (GO:0048588)	5	0	0.18	-	 < 0.01	1.00E+00
DNA catabolic process (GO:0006308)	4	0	0.14	-	 < 0.01	1.00E+00
DNA methylation (GO:0006306)	5	0	0.18	-	 < 0.01	1.00E+00
DNA alkylation (GO:0006305)	5	0	0.18	-	 < 0.01	1.00E+00
DNA modification (GO:0006304)	12	0	0.42	-	 < 0.01	1.00E+00
glycolipid metabolic process (GO:0006664)	38	0	1.35	-	 < 0.01	6.45E-01
postreplication repair (GO:0006301)	15	0	0.53	-	 < 0.01	1.00E+00
dipeptide transport (GO:0042938)	2	0	0.07	-	 < 0.01	1.00E+00
vesicle transport along microtubule (GO:0047496)	17	0	0.6	-	 < 0.01	1.00E+00
defense response to Gram-negative bacterium (GO:0050829)	1	0	0.04	-	 < 0.01	1.00E+00
positive regulation of cell migration (GO:0030335)	50	0	1.77	-	 < 0.01	4.24E-01
protein stabilization (GO:0050821)	15	0	0.53	-	 < 0.01	1.00E+00
DNA duplex unwinding (GO:0032508)	12	0	0.42	-	 < 0.01	1.00E+00
cellular response to insulin stimulus (GO:0032869)	17	0	0.6	-	 < 0.01	1.00E+00
cytokinetic process (GO:0032506)	11	0	0.39	-	 < 0.01	1.00E+00
response to insulin (GO:0032868)	19	0	0.67	-	 < 0.01	1.00E+00
IMP metabolic process (GO:0046040)	9	0	0.32	-	 < 0.01	1.00E+00
multicellular organism reproduction (GO:0032504)	29	0	1.03	-	 < 0.01	6.25E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	0	0.57	-	 < 0.01	1.00E+00
hormone transport (GO:0009914)	3	0	0.11	-	 < 0.01	1.00E+00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	0.07	-	 < 0.01	1.00E+00
epidermal cell differentiation (GO:0009913)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of cellular response to stress (GO:0080135)	32	0	1.13	-	 < 0.01	6.29E-01
ATP metabolic process (GO:0046034)	20	0	0.71	-	 < 0.01	1.00E+00
