PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.fst.50000kb.genenames_filtered.txt (356)	noca.fst.50000kb.genenames_filtered.txt (expected)	noca.fst.50000kb.genenames_filtered.txt (over/under)	noca.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
regulation of DNA metabolic process (GO:0051052)	37	0	1.03	-	 < 0.01	6.27E-01
fatty acid catabolic process (GO:0009062)	32	0	0.89	-	 < 0.01	1.00E+00
aerobic respiration (GO:0009060)	30	0	0.84	-	 < 0.01	1.00E+00
cellular respiration (GO:0045333)	35	0	0.98	-	 < 0.01	6.26E-01
intraciliary transport (GO:0042073)	19	0	0.53	-	 < 0.01	1.00E+00
rRNA modification (GO:0000154)	18	0	0.5	-	 < 0.01	1.00E+00
protein O-linked mannosylation (GO:0035269)	5	0	0.14	-	 < 0.01	1.00E+00
positive regulation of leukocyte migration (GO:0002687)	13	0	0.36	-	 < 0.01	1.00E+00
regulation of leukocyte migration (GO:0002685)	16	0	0.45	-	 < 0.01	1.00E+00
positive regulation of immune system process (GO:0002684)	75	0	2.1	-	 < 0.01	2.76E-01
DNA biosynthetic process (GO:0071897)	20	0	0.56	-	 < 0.01	1.00E+00
detoxification (GO:0098754)	7	0	0.2	-	 < 0.01	1.00E+00
late endosome to vacuole transport (GO:0045324)	29	0	0.81	-	 < 0.01	1.00E+00
wound healing (GO:0042060)	19	0	0.53	-	 < 0.01	1.00E+00
protein localization to lysosome (GO:0061462)	6	0	0.17	-	 < 0.01	1.00E+00
stress fiber assembly (GO:0043149)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of double-strand break repair via homologous recombination (GO:0010569)	7	0	0.2	-	 < 0.01	1.00E+00
negative regulation of phosphorus metabolic process (GO:0010563)	37	0	1.03	-	 < 0.01	6.27E-01
neuron projection extension (GO:1990138)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	11	0	0.31	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	0.03	-	 < 0.01	1.00E+00
reproductive system development (GO:0061458)	2	0	0.06	-	 < 0.01	1.00E+00
establishment of mitotic spindle orientation (GO:0000132)	9	0	0.25	-	 < 0.01	1.00E+00
mRNA transport (GO:0051028)	30	0	0.84	-	 < 0.01	1.00E+00
microtubule bundle formation (GO:0001578)	23	0	0.64	-	 < 0.01	1.00E+00
kinetochore organization (GO:0051383)	8	0	0.22	-	 < 0.01	1.00E+00
kinetochore assembly (GO:0051382)	6	0	0.17	-	 < 0.01	1.00E+00
fluid transport (GO:0042044)	8	0	0.22	-	 < 0.01	1.00E+00
vasculogenesis (GO:0001570)	4	0	0.11	-	 < 0.01	1.00E+00
exocytic process (GO:0140029)	14	0	0.39	-	 < 0.01	1.00E+00
RNA stabilization (GO:0043489)	14	0	0.39	-	 < 0.01	1.00E+00
establishment of protein localization to extracellular region (GO:0035592)	22	0	0.62	-	 < 0.01	1.00E+00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	0.14	-	 < 0.01	1.00E+00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	23	0	0.64	-	 < 0.01	1.00E+00
actin filament bundle assembly (GO:0051017)	21	0	0.59	-	 < 0.01	1.00E+00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	32	0	0.89	-	 < 0.01	1.00E+00
barbed-end actin filament capping (GO:0051016)	17	0	0.48	-	 < 0.01	1.00E+00
toll-like receptor 4 signaling pathway (GO:0034142)	5	0	0.14	-	 < 0.01	1.00E+00
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)"	5	0	0.14	-	 < 0.01	1.00E+00
snRNA processing (GO:0016180)	21	0	0.59	-	 < 0.01	1.00E+00
bone development (GO:0060348)	9	0	0.25	-	 < 0.01	1.00E+00
regulation of protein localization to membrane (GO:1905475)	10	0	0.28	-	 < 0.01	1.00E+00
receptor clustering (GO:0043113)	9	0	0.25	-	 < 0.01	1.00E+00
regulation of cellular localization (GO:0060341)	47	0	1.31	-	 < 0.01	6.43E-01
regulation of cell growth (GO:0001558)	11	0	0.31	-	 < 0.01	1.00E+00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	0.25	-	 < 0.01	1.00E+00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	0.28	-	 < 0.01	1.00E+00
insulin receptor signaling pathway (GO:0008286)	8	0	0.22	-	 < 0.01	1.00E+00
negative regulation of sister chromatid segregation (GO:0033046)	9	0	0.25	-	 < 0.01	1.00E+00
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)"	7	0	0.2	-	 < 0.01	1.00E+00
negative regulation of cell population proliferation (GO:0008285)	14	0	0.39	-	 < 0.01	1.00E+00
regulation of sister chromatid segregation (GO:0033045)	19	0	0.53	-	 < 0.01	1.00E+00
regulation of chromosome organization (GO:0033044)	30	0	0.84	-	 < 0.01	1.00E+00
cell population proliferation (GO:0008283)	9	0	0.25	-	 < 0.01	1.00E+00
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)"	17	0	0.48	-	 < 0.01	1.00E+00
triglyceride catabolic process (GO:0019433)	3	0	0.08	-	 < 0.01	1.00E+00
triglyceride biosynthetic process (GO:0019432)	10	0	0.28	-	 < 0.01	1.00E+00
maturation of 5.8S rRNA (GO:0000460)	16	0	0.45	-	 < 0.01	1.00E+00
secondary metabolite biosynthetic process (GO:0044550)	4	0	0.11	-	 < 0.01	1.00E+00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	0.06	-	 < 0.01	1.00E+00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	0.06	-	 < 0.01	1.00E+00
positive regulation of myeloid cell differentiation (GO:0045639)	4	0	0.11	-	 < 0.01	1.00E+00
regulation of myeloid cell differentiation (GO:0045637)	6	0	0.17	-	 < 0.01	1.00E+00
negative regulation of lyase activity (GO:0051350)	2	0	0.06	-	 < 0.01	1.00E+00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	0	0.48	-	 < 0.01	1.00E+00
non-canonical Wnt signaling pathway (GO:0035567)	26	0	0.73	-	 < 0.01	1.00E+00
cell chemotaxis (GO:0060326)	16	0	0.45	-	 < 0.01	1.00E+00
regulation of phospholipase activity (GO:0010517)	1	0	0.03	-	 < 0.01	1.00E+00
cilium or flagellum-dependent cell motility (GO:0001539)	14	0	0.39	-	 < 0.01	1.00E+00
tricarboxylic acid cycle (GO:0006099)	18	0	0.5	-	 < 0.01	1.00E+00
negative regulation of hydrolase activity (GO:0051346)	27	0	0.75	-	 < 0.01	1.00E+00
glycolytic process (GO:0006096)	17	0	0.48	-	 < 0.01	1.00E+00
snRNA 3'-end processing (GO:0034472)	19	0	0.53	-	 < 0.01	1.00E+00
amino acid import across plasma membrane (GO:0089718)	10	0	0.28	-	 < 0.01	1.00E+00
generation of precursor metabolites and energy (GO:0006091)	68	0	1.9	-	 < 0.01	2.67E-01
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)"	2	0	0.06	-	 < 0.01	1.00E+00
transforming growth factor beta receptor signaling pathway (GO:0007179)	21	0	0.59	-	 < 0.01	1.00E+00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	34	0	0.95	-	 < 0.01	1.00E+00
epidermal growth factor receptor signaling pathway (GO:0007173)	14	0	0.39	-	 < 0.01	1.00E+00
homotypic cell-cell adhesion (GO:0034109)	7	0	0.2	-	 < 0.01	1.00E+00
liver development (GO:0001889)	2	0	0.06	-	 < 0.01	1.00E+00
regulation of tissue remodeling (GO:0034103)	4	0	0.11	-	 < 0.01	1.00E+00
regulation of autophagosome maturation (GO:1901096)	5	0	0.14	-	 < 0.01	1.00E+00
pseudouridine synthesis (GO:0001522)	11	0	0.31	-	 < 0.01	1.00E+00
tetrapyrrole metabolic process (GO:0033013)	14	0	0.39	-	 < 0.01	1.00E+00
negative regulation of cell adhesion (GO:0007162)	10	0	0.28	-	 < 0.01	1.00E+00
cell-matrix adhesion (GO:0007160)	34	0	0.95	-	 < 0.01	1.00E+00
response to peptide hormone (GO:0043434)	36	0	1.01	-	 < 0.01	6.26E-01
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	0.22	-	 < 0.01	1.00E+00
glycerol-3-phosphate metabolic process (GO:0006072)	5	0	0.14	-	 < 0.01	1.00E+00
RNA methylation (GO:0001510)	43	0	1.2	-	 < 0.01	6.34E-01
mitophagy (GO:0000423)	11	0	0.31	-	 < 0.01	1.00E+00
secretory granule organization (GO:0033363)	2	0	0.06	-	 < 0.01	1.00E+00
leukocyte cell-cell adhesion (GO:0007159)	1	0	0.03	-	 < 0.01	1.00E+00
protein transmembrane transport (GO:0071806)	28	0	0.78	-	 < 0.01	1.00E+00
negative regulation of protein polymerization (GO:0032272)	23	0	0.64	-	 < 0.01	1.00E+00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	0.14	-	 < 0.01	1.00E+00
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	0.36	-	 < 0.01	1.00E+00
ossification (GO:0001503)	15	0	0.42	-	 < 0.01	1.00E+00
metaphase chromosome alignment (GO:0051310)	9	0	0.25	-	 < 0.01	1.00E+00
skeletal system development (GO:0001501)	44	0	1.23	-	 < 0.01	6.36E-01
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	0.08	-	 < 0.01	1.00E+00
lipid oxidation (GO:0034440)	25	0	0.7	-	 < 0.01	1.00E+00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	0.06	-	 < 0.01	1.00E+00
myeloid cell differentiation (GO:0030099)	10	0	0.28	-	 < 0.01	1.00E+00
phytosteroid metabolic process (GO:0016128)	1	0	0.03	-	 < 0.01	1.00E+00
secondary metabolic process (GO:0019748)	5	0	0.14	-	 < 0.01	1.00E+00
protein peptidyl-prolyl isomerization (GO:0000413)	17	0	0.48	-	 < 0.01	1.00E+00
sterol biosynthetic process (GO:0016126)	12	0	0.34	-	 < 0.01	1.00E+00
regulation of Notch signaling pathway (GO:0008593)	13	0	0.36	-	 < 0.01	1.00E+00
sterol metabolic process (GO:0016125)	21	0	0.59	-	 < 0.01	1.00E+00
protein processing (GO:0016485)	57	0	1.59	-	 < 0.01	4.11E-01
male meiotic nuclear division (GO:0007140)	4	0	0.11	-	 < 0.01	1.00E+00
macromolecule methylation (GO:0043414)	59	0	1.65	-	 < 0.01	4.15E-01
telomere maintenance via telomere lengthening (GO:0010833)	8	0	0.22	-	 < 0.01	1.00E+00
mitotic sister chromatid separation (GO:0051306)	1	0	0.03	-	 < 0.01	1.00E+00
chromosome separation (GO:0051304)	3	0	0.08	-	 < 0.01	1.00E+00
establishment of chromosome localization (GO:0051303)	13	0	0.36	-	 < 0.01	1.00E+00
regulation of cell division (GO:0051302)	8	0	0.22	-	 < 0.01	1.00E+00
oligosaccharide biosynthetic process (GO:0009312)	2	0	0.06	-	 < 0.01	1.00E+00
negative regulation of phosphorylation (GO:0042326)	33	0	0.92	-	 < 0.01	1.00E+00
positive regulation of transcription by RNA polymerase I (GO:0045943)	5	0	0.14	-	 < 0.01	1.00E+00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	0.08	-	 < 0.01	1.00E+00
carotenoid biosynthetic process (GO:0016117)	1	0	0.03	-	 < 0.01	1.00E+00
male gonad development (GO:0008584)	1	0	0.03	-	 < 0.01	1.00E+00
cholesterol efflux (GO:0033344)	8	0	0.22	-	 < 0.01	1.00E+00
terpenoid biosynthetic process (GO:0016114)	6	0	0.17	-	 < 0.01	1.00E+00
antimicrobial humoral response (GO:0019730)	1	0	0.03	-	 < 0.01	1.00E+00
methylation (GO:0032259)	59	0	1.65	-	 < 0.01	4.15E-01
mesoderm development (GO:0007498)	7	0	0.2	-	 < 0.01	1.00E+00
negative regulation of MAPK cascade (GO:0043409)	25	0	0.7	-	 < 0.01	1.00E+00
regulation of MAP kinase activity (GO:0043405)	20	0	0.56	-	 < 0.01	1.00E+00
endoderm development (GO:0007492)	7	0	0.2	-	 < 0.01	1.00E+00
amine metabolic process (GO:0009308)	19	0	0.53	-	 < 0.01	1.00E+00
regulation of centrosome duplication (GO:0010824)	6	0	0.17	-	 < 0.01	1.00E+00
protein secretion (GO:0009306)	22	0	0.62	-	 < 0.01	1.00E+00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	0.08	-	 < 0.01	1.00E+00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of mitochondrion organization (GO:0010821)	11	0	0.31	-	 < 0.01	1.00E+00
rRNA transcription (GO:0009303)	7	0	0.2	-	 < 0.01	1.00E+00
rRNA methylation (GO:0031167)	11	0	0.31	-	 < 0.01	1.00E+00
spindle localization (GO:0051653)	18	0	0.5	-	 < 0.01	1.00E+00
negative regulation of phosphate metabolic process (GO:0045936)	37	0	1.03	-	 < 0.01	6.27E-01
maintenance of location in cell (GO:0051651)	18	0	0.5	-	 < 0.01	1.00E+00
amino sugar metabolic process (GO:0006040)	14	0	0.39	-	 < 0.01	1.00E+00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	0.42	-	 < 0.01	1.00E+00
negative regulation of mitotic cell cycle (GO:0045930)	38	0	1.06	-	 < 0.01	6.27E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	0.25	-	 < 0.01	1.00E+00
insulin secretion (GO:0030073)	2	0	0.06	-	 < 0.01	1.00E+00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	0.17	-	 < 0.01	1.00E+00
calcium-mediated signaling (GO:0019722)	30	0	0.84	-	 < 0.01	1.00E+00
peptide hormone secretion (GO:0030072)	3	0	0.08	-	 < 0.01	1.00E+00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	0.45	-	 < 0.01	1.00E+00
cell cycle G1/S phase transition (GO:0044843)	18	0	0.5	-	 < 0.01	1.00E+00
release of cytochrome c from mitochondria (GO:0001836)	5	0	0.14	-	 < 0.01	1.00E+00
positive regulation of growth (GO:0045927)	4	0	0.11	-	 < 0.01	1.00E+00
mitochondrial transcription (GO:0006390)	6	0	0.17	-	 < 0.01	1.00E+00
cholesterol metabolic process (GO:0008203)	15	0	0.42	-	 < 0.01	1.00E+00
cell cycle G2/M phase transition (GO:0044839)	4	0	0.11	-	 < 0.01	1.00E+00
steroid metabolic process (GO:0008202)	28	0	0.78	-	 < 0.01	1.00E+00
positive regulation of actin filament bundle assembly (GO:0032233)	8	0	0.22	-	 < 0.01	1.00E+00
left/right pattern formation (GO:0060972)	2	0	0.06	-	 < 0.01	1.00E+00
glucose transmembrane transport (GO:1904659)	7	0	0.2	-	 < 0.01	1.00E+00
"tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)"	4	0	0.11	-	 < 0.01	1.00E+00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	15	0	0.42	-	 < 0.01	1.00E+00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	9	0	0.25	-	 < 0.01	1.00E+00
kidney development (GO:0001822)	8	0	0.22	-	 < 0.01	1.00E+00
transcription by RNA polymerase III (GO:0006383)	15	0	0.42	-	 < 0.01	1.00E+00
adenosine to inosine editing (GO:0006382)	4	0	0.11	-	 < 0.01	1.00E+00
negative regulation of DNA recombination (GO:0045910)	6	0	0.17	-	 < 0.01	1.00E+00
mitotic DNA replication checkpoint signaling (GO:0033314)	4	0	0.11	-	 < 0.01	1.00E+00
DNA synthesis involved in DNA repair (GO:0000731)	14	0	0.39	-	 < 0.01	1.00E+00
somatic cell DNA recombination (GO:0016444)	2	0	0.06	-	 < 0.01	1.00E+00
L-alpha-amino acid transmembrane transport (GO:1902475)	15	0	0.42	-	 < 0.01	1.00E+00
regulation of cellular response to growth factor stimulus (GO:0090287)	46	0	1.29	-	 < 0.01	6.41E-01
positive regulation of cytokine production (GO:0001819)	9	0	0.25	-	 < 0.01	1.00E+00
mRNA polyadenylation (GO:0006378)	5	0	0.14	-	 < 0.01	1.00E+00
response to toxic substance (GO:0009636)	9	0	0.25	-	 < 0.01	1.00E+00
cytokine production (GO:0001816)	5	0	0.14	-	 < 0.01	1.00E+00
mRNA splice site recognition (GO:0006376)	13	0	0.36	-	 < 0.01	1.00E+00
negative regulation of chromosome segregation (GO:0051985)	9	0	0.25	-	 < 0.01	1.00E+00
iron ion transmembrane transport (GO:0034755)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of chromosome segregation (GO:0051983)	21	0	0.59	-	 < 0.01	1.00E+00
DNA double-strand break processing (GO:0000729)	4	0	0.11	-	 < 0.01	1.00E+00
double-strand break repair via break-induced replication (GO:0000727)	9	0	0.25	-	 < 0.01	1.00E+00
actin filament-based movement (GO:0030048)	17	0	0.48	-	 < 0.01	1.00E+00
recombinational repair (GO:0000725)	58	0	1.62	-	 < 0.01	4.13E-01
epidermis development (GO:0008544)	4	0	0.11	-	 < 0.01	1.00E+00
mitotic G2/M transition checkpoint (GO:0044818)	13	0	0.36	-	 < 0.01	1.00E+00
double-strand break repair via homologous recombination (GO:0000724)	58	0	1.62	-	 < 0.01	4.13E-01
telomere maintenance (GO:0000723)	26	0	0.73	-	 < 0.01	1.00E+00
actin filament depolymerization (GO:0030042)	8	0	0.22	-	 < 0.01	1.00E+00
actin filament polymerization (GO:0030041)	11	0	0.31	-	 < 0.01	1.00E+00
regulation of peptide hormone secretion (GO:0090276)	6	0	0.17	-	 < 0.01	1.00E+00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	0.25	-	 < 0.01	1.00E+00
cell-cell recognition (GO:0009988)	2	0	0.06	-	 < 0.01	1.00E+00
regulation of potassium ion transmembrane transport (GO:1901379)	15	0	0.42	-	 < 0.01	1.00E+00
mRNA 3'-end processing (GO:0031124)	17	0	0.48	-	 < 0.01	1.00E+00
RNA 3'-end processing (GO:0031123)	43	0	1.2	-	 < 0.01	6.34E-01
transcription elongation by RNA polymerase I (GO:0006362)	3	0	0.08	-	 < 0.01	1.00E+00
cytoplasmic microtubule organization (GO:0031122)	22	0	0.62	-	 < 0.01	1.00E+00
transcription by RNA polymerase I (GO:0006360)	11	0	0.31	-	 < 0.01	1.00E+00
cholesterol homeostasis (GO:0042632)	8	0	0.22	-	 < 0.01	1.00E+00
contractile actin filament bundle assembly (GO:0030038)	5	0	0.14	-	 < 0.01	1.00E+00
respiratory chain complex IV assembly (GO:0008535)	1	0	0.03	-	 < 0.01	1.00E+00
resolution of meiotic recombination intermediates (GO:0000712)	13	0	0.36	-	 < 0.01	1.00E+00
regulation of postsynapse organization (GO:0099175)	10	0	0.28	-	 < 0.01	1.00E+00
regulation of telomere maintenance (GO:0032204)	6	0	0.17	-	 < 0.01	1.00E+00
quaternary ammonium group transport (GO:0015697)	5	0	0.14	-	 < 0.01	1.00E+00
telomere organization (GO:0032200)	26	0	0.73	-	 < 0.01	1.00E+00
organic cation transport (GO:0015695)	6	0	0.17	-	 < 0.01	1.00E+00
defense response to virus (GO:0051607)	4	0	0.11	-	 < 0.01	1.00E+00
response to bacterium (GO:0009617)	16	0	0.45	-	 < 0.01	1.00E+00
response to virus (GO:0009615)	4	0	0.11	-	 < 0.01	1.00E+00
protein maturation (GO:0051604)	183	0	5.12	-	 < 0.01	1.07E-02
"regulation of synaptic transmission, glutamatergic (GO:0051966)"	13	0	0.36	-	 < 0.01	1.00E+00
regulation of transcription by RNA polymerase I (GO:0006356)	6	0	0.17	-	 < 0.01	1.00E+00
response to mechanical stimulus (GO:0009612)	10	0	0.28	-	 < 0.01	1.00E+00
response to wounding (GO:0009611)	25	0	0.7	-	 < 0.01	1.00E+00
regulation of microtubule polymerization or depolymerization (GO:0031110)	23	0	0.64	-	 < 0.01	1.00E+00
sodium ion homeostasis (GO:0055078)	13	0	0.36	-	 < 0.01	1.00E+00
regulation of body fluid levels (GO:0050878)	15	0	0.42	-	 < 0.01	1.00E+00
positive regulation of T cell activation (GO:0050870)	5	0	0.14	-	 < 0.01	1.00E+00
response to biotic stimulus (GO:0009607)	46	0	1.29	-	 < 0.01	6.41E-01
microtubule polymerization or depolymerization (GO:0031109)	30	0	0.84	-	 < 0.01	1.00E+00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	0.06	-	 < 0.01	1.00E+00
negative regulation of T cell activation (GO:0050868)	4	0	0.11	-	 < 0.01	1.00E+00
positive regulation of cell activation (GO:0050867)	8	0	0.22	-	 < 0.01	1.00E+00
negative regulation of cell activation (GO:0050866)	6	0	0.17	-	 < 0.01	1.00E+00
regulation of cell activation (GO:0050865)	16	0	0.45	-	 < 0.01	1.00E+00
regulation of T cell activation (GO:0050863)	8	0	0.22	-	 < 0.01	1.00E+00
response to lipid (GO:0033993)	35	0	0.98	-	 < 0.01	6.26E-01
adenosine metabolic process (GO:0046085)	4	0	0.11	-	 < 0.01	1.00E+00
establishment of cell polarity (GO:0030010)	23	0	0.64	-	 < 0.01	1.00E+00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	0.17	-	 < 0.01	1.00E+00
sensory organ development (GO:0007423)	49	0	1.37	-	 < 0.01	6.48E-01
mRNA stabilization (GO:0048255)	13	0	0.36	-	 < 0.01	1.00E+00
nucleosome assembly (GO:0006334)	9	0	0.25	-	 < 0.01	1.00E+00
cholesterol biosynthetic process (GO:0006695)	7	0	0.2	-	 < 0.01	1.00E+00
dorsal/ventral pattern formation (GO:0009953)	7	0	0.2	-	 < 0.01	1.00E+00
steroid biosynthetic process (GO:0006694)	15	0	0.42	-	 < 0.01	1.00E+00
anterior/posterior pattern specification (GO:0009952)	40	0	1.12	-	 < 0.01	6.29E-01
regulation of systemic arterial blood pressure (GO:0003073)	9	0	0.25	-	 < 0.01	1.00E+00
prostaglandin metabolic process (GO:0006693)	5	0	0.14	-	 < 0.01	1.00E+00
icosanoid metabolic process (GO:0006690)	10	0	0.28	-	 < 0.01	1.00E+00
regulation of cell adhesion mediated by integrin (GO:0033628)	6	0	0.17	-	 < 0.01	1.00E+00
cell adhesion mediated by integrin (GO:0033627)	25	0	0.7	-	 < 0.01	1.00E+00
B cell receptor signaling pathway (GO:0050853)	10	0	0.28	-	 < 0.01	1.00E+00
T cell receptor signaling pathway (GO:0050852)	18	0	0.5	-	 < 0.01	1.00E+00
antigen receptor-mediated signaling pathway (GO:0050851)	24	0	0.67	-	 < 0.01	1.00E+00
macrophage chemotaxis (GO:0048246)	1	0	0.03	-	 < 0.01	1.00E+00
sensory organ morphogenesis (GO:0090596)	10	0	0.28	-	 < 0.01	1.00E+00
glycosphingolipid biosynthetic process (GO:0006688)	12	0	0.34	-	 < 0.01	1.00E+00
sperm capacitation (GO:0048240)	1	0	0.03	-	 < 0.01	1.00E+00
positive regulation of establishment of protein localization (GO:1904951)	6	0	0.17	-	 < 0.01	1.00E+00
liposaccharide metabolic process (GO:1903509)	41	0	1.15	-	 < 0.01	6.31E-01
membrane protein proteolysis (GO:0033619)	14	0	0.39	-	 < 0.01	1.00E+00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	0.03	-	 < 0.01	1.00E+00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	0.08	-	 < 0.01	1.00E+00
embryonic morphogenesis (GO:0048598)	41	0	1.15	-	 < 0.01	6.31E-01
mitotic cytokinetic process (GO:1902410)	3	0	0.08	-	 < 0.01	1.00E+00
male gamete generation (GO:0048232)	20	0	0.56	-	 < 0.01	1.00E+00
regulation of protein localization (GO:0032880)	37	0	1.03	-	 < 0.01	6.27E-01
camera-type eye morphogenesis (GO:0048593)	6	0	0.17	-	 < 0.01	1.00E+00
eye morphogenesis (GO:0048592)	8	0	0.22	-	 < 0.01	1.00E+00
regulation of calcium ion transport (GO:0051924)	21	0	0.59	-	 < 0.01	1.00E+00
mitotic recombination (GO:0006312)	7	0	0.2	-	 < 0.01	1.00E+00
P-body assembly (GO:0033962)	10	0	0.28	-	 < 0.01	1.00E+00
developmental growth (GO:0048589)	7	0	0.2	-	 < 0.01	1.00E+00
developmental cell growth (GO:0048588)	5	0	0.14	-	 < 0.01	1.00E+00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	0	0.53	-	 < 0.01	1.00E+00
DNA catabolic process (GO:0006308)	4	0	0.11	-	 < 0.01	1.00E+00
DNA methylation (GO:0006306)	5	0	0.14	-	 < 0.01	1.00E+00
DNA alkylation (GO:0006305)	5	0	0.14	-	 < 0.01	1.00E+00
DNA modification (GO:0006304)	12	0	0.34	-	 < 0.01	1.00E+00
glycolipid metabolic process (GO:0006664)	40	0	1.12	-	 < 0.01	6.29E-01
postreplication repair (GO:0006301)	15	0	0.42	-	 < 0.01	1.00E+00
dipeptide transport (GO:0042938)	2	0	0.06	-	 < 0.01	1.00E+00
vesicle transport along microtubule (GO:0047496)	17	0	0.48	-	 < 0.01	1.00E+00
defense response to Gram-negative bacterium (GO:0050829)	1	0	0.03	-	 < 0.01	1.00E+00
positive regulation of cell migration (GO:0030335)	54	0	1.51	-	 < 0.01	4.07E-01
protein stabilization (GO:0050821)	15	0	0.42	-	 < 0.01	1.00E+00
endosome transport via multivesicular body sorting pathway (GO:0032509)	26	0	0.73	-	 < 0.01	1.00E+00
DNA duplex unwinding (GO:0032508)	12	0	0.34	-	 < 0.01	1.00E+00
cellular response to insulin stimulus (GO:0032869)	17	0	0.48	-	 < 0.01	1.00E+00
cytokinetic process (GO:0032506)	12	0	0.34	-	 < 0.01	1.00E+00
response to insulin (GO:0032868)	19	0	0.53	-	 < 0.01	1.00E+00
IMP metabolic process (GO:0046040)	9	0	0.25	-	 < 0.01	1.00E+00
multicellular organism reproduction (GO:0032504)	32	0	0.89	-	 < 0.01	1.00E+00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	17	0	0.48	-	 < 0.01	1.00E+00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	0.06	-	 < 0.01	1.00E+00
hormone transport (GO:0009914)	3	0	0.08	-	 < 0.01	1.00E+00
epidermal cell differentiation (GO:0009913)	2	0	0.06	-	 < 0.01	1.00E+00
negative regulation of coagulation (GO:0050819)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of coagulation (GO:0050818)	8	0	0.22	-	 < 0.01	1.00E+00
coagulation (GO:0050817)	9	0	0.25	-	 < 0.01	1.00E+00
regulation of cellular response to stress (GO:0080135)	32	0	0.89	-	 < 0.01	1.00E+00
ATP metabolic process (GO:0046034)	20	0	0.56	-	 < 0.01	1.00E+00
carboxylic acid biosynthetic process (GO:0046394)	60	0	1.68	-	 < 0.01	4.17E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	24	0	0.67	-	 < 0.01	1.00E+00
ribose phosphate biosynthetic process (GO:0046390)	41	0	1.15	-	 < 0.01	6.31E-01
embryonic organ development (GO:0048568)	28	0	0.78	-	 < 0.01	1.00E+00
glycosyl compound catabolic process (GO:1901658)	13	0	0.36	-	 < 0.01	1.00E+00
energy derivation by oxidation of organic compounds (GO:0015980)	41	0	1.15	-	 < 0.01	6.31E-01
glycosyl compound metabolic process (GO:1901657)	24	0	0.67	-	 < 0.01	1.00E+00
triglyceride metabolic process (GO:0006641)	16	0	0.45	-	 < 0.01	1.00E+00
cellular response to peptide (GO:1901653)	31	0	0.87	-	 < 0.01	1.00E+00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	14	0	0.39	-	 < 0.01	1.00E+00
