PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.dxy.50000kb.genenames_filtered.txt (187)	pyrr.dxy.50000kb.genenames_filtered.txt (expected)	pyrr.dxy.50000kb.genenames_filtered.txt (over/under)	pyrr.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
sterol metabolic process (GO:0016125)	21	0	0.31	-	 < 0.01	1.00E+00
cytosolic transport (GO:0016482)	39	0	0.57	-	 < 0.01	1.00E+00
male meiotic nuclear division (GO:0007140)	4	0	0.06	-	 < 0.01	1.00E+00
macromolecule methylation (GO:0043414)	59	0	0.87	-	 < 0.01	1.00E+00
macromolecule glycosylation (GO:0043413)	92	0	1.35	-	 < 0.01	6.48E-01
telomere maintenance via telomere lengthening (GO:0010833)	8	0	0.12	-	 < 0.01	1.00E+00
response to radiation (GO:0009314)	34	0	0.5	-	 < 0.01	1.00E+00
establishment of chromosome localization (GO:0051303)	13	0	0.19	-	 < 0.01	1.00E+00
regulation of cell division (GO:0051302)	8	0	0.12	-	 < 0.01	1.00E+00
oligosaccharide biosynthetic process (GO:0009312)	2	0	0.03	-	 < 0.01	1.00E+00
cell division (GO:0051301)	41	0	0.6	-	 < 0.01	1.00E+00
negative regulation of phosphorylation (GO:0042326)	33	0	0.48	-	 < 0.01	1.00E+00
positive regulation of transcription by RNA polymerase I (GO:0045943)	5	0	0.07	-	 < 0.01	1.00E+00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	0.04	-	 < 0.01	1.00E+00
carotenoid biosynthetic process (GO:0016117)	1	0	0.01	-	 < 0.01	1.00E+00
male gonad development (GO:0008584)	1	0	0.01	-	 < 0.01	1.00E+00
cholesterol efflux (GO:0033344)	8	0	0.12	-	 < 0.01	1.00E+00
terpenoid biosynthetic process (GO:0016114)	6	0	0.09	-	 < 0.01	1.00E+00
antimicrobial humoral response (GO:0019730)	1	0	0.01	-	 < 0.01	1.00E+00
methylation (GO:0032259)	59	0	0.87	-	 < 0.01	1.00E+00
mesoderm development (GO:0007498)	7	0	0.1	-	 < 0.01	1.00E+00
negative regulation of MAPK cascade (GO:0043409)	25	0	0.37	-	 < 0.01	1.00E+00
reciprocal meiotic recombination (GO:0007131)	23	0	0.34	-	 < 0.01	1.00E+00
regulation of MAP kinase activity (GO:0043405)	20	0	0.29	-	 < 0.01	1.00E+00
endoderm development (GO:0007492)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of centrosome duplication (GO:0010824)	6	0	0.09	-	 < 0.01	1.00E+00
protein secretion (GO:0009306)	22	0	0.32	-	 < 0.01	1.00E+00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	0.04	-	 < 0.01	1.00E+00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of mitochondrion organization (GO:0010821)	11	0	0.16	-	 < 0.01	1.00E+00
rRNA transcription (GO:0009303)	7	0	0.1	-	 < 0.01	1.00E+00
rRNA methylation (GO:0031167)	11	0	0.16	-	 < 0.01	1.00E+00
phagolysosome assembly (GO:0001845)	9	0	0.13	-	 < 0.01	1.00E+00
spindle localization (GO:0051653)	18	0	0.26	-	 < 0.01	1.00E+00
negative regulation of phosphate metabolic process (GO:0045936)	37	0	0.54	-	 < 0.01	1.00E+00
maintenance of location in cell (GO:0051651)	18	0	0.26	-	 < 0.01	1.00E+00
amino sugar metabolic process (GO:0006040)	14	0	0.21	-	 < 0.01	1.00E+00
cell death (GO:0008219)	62	0	0.91	-	 < 0.01	1.00E+00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	200	0	2.94	-	 < 0.01	1.25E-01
regulation of blood pressure (GO:0008217)	14	0	0.21	-	 < 0.01	1.00E+00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of mitotic cell cycle (GO:0045930)	38	0	0.56	-	 < 0.01	1.00E+00
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	0.13	-	 < 0.01	1.00E+00
insulin secretion (GO:0030073)	2	0	0.03	-	 < 0.01	1.00E+00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	0.09	-	 < 0.01	1.00E+00
peptide hormone secretion (GO:0030072)	3	0	0.04	-	 < 0.01	1.00E+00
diterpenoid metabolic process (GO:0016101)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	0.23	-	 < 0.01	1.00E+00
cell cycle G1/S phase transition (GO:0044843)	18	0	0.26	-	 < 0.01	1.00E+00
meiosis I (GO:0007127)	28	0	0.41	-	 < 0.01	1.00E+00
positive regulation of cell-substrate adhesion (GO:0010811)	11	0	0.16	-	 < 0.01	1.00E+00
regulation of cell-substrate adhesion (GO:0010810)	13	0	0.19	-	 < 0.01	1.00E+00
release of cytochrome c from mitochondria (GO:0001836)	5	0	0.07	-	 < 0.01	1.00E+00
centrosome localization (GO:0051642)	8	0	0.12	-	 < 0.01	1.00E+00
mitochondrial transcription (GO:0006390)	6	0	0.09	-	 < 0.01	1.00E+00
reticulophagy (GO:0061709)	9	0	0.13	-	 < 0.01	1.00E+00
cholesterol metabolic process (GO:0008203)	15	0	0.22	-	 < 0.01	1.00E+00
cell cycle G2/M phase transition (GO:0044839)	4	0	0.06	-	 < 0.01	1.00E+00
steroid metabolic process (GO:0008202)	28	0	0.41	-	 < 0.01	1.00E+00
positive regulation of actin filament bundle assembly (GO:0032233)	8	0	0.12	-	 < 0.01	1.00E+00
regulation of actin filament bundle assembly (GO:0032231)	11	0	0.16	-	 < 0.01	1.00E+00
proteoglycan metabolic process (GO:0006029)	30	0	0.44	-	 < 0.01	1.00E+00
"tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)"	4	0	0.06	-	 < 0.01	1.00E+00
glycosaminoglycan biosynthetic process (GO:0006024)	15	0	0.22	-	 < 0.01	1.00E+00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	15	0	0.22	-	 < 0.01	1.00E+00
aminoglycan biosynthetic process (GO:0006023)	19	0	0.28	-	 < 0.01	1.00E+00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	9	0	0.13	-	 < 0.01	1.00E+00
aminoglycan metabolic process (GO:0006022)	27	0	0.4	-	 < 0.01	1.00E+00
kidney development (GO:0001822)	8	0	0.12	-	 < 0.01	1.00E+00
transcription by RNA polymerase III (GO:0006383)	15	0	0.22	-	 < 0.01	1.00E+00
adenosine to inosine editing (GO:0006382)	4	0	0.06	-	 < 0.01	1.00E+00
negative regulation of DNA recombination (GO:0045910)	6	0	0.09	-	 < 0.01	1.00E+00
mitotic DNA replication checkpoint signaling (GO:0033314)	4	0	0.06	-	 < 0.01	1.00E+00
DNA synthesis involved in DNA repair (GO:0000731)	14	0	0.21	-	 < 0.01	1.00E+00
somatic cell DNA recombination (GO:0016444)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of organelle assembly (GO:1902115)	21	0	0.31	-	 < 0.01	1.00E+00
chloride transmembrane transport (GO:1902476)	34	0	0.5	-	 < 0.01	1.00E+00
L-alpha-amino acid transmembrane transport (GO:1902475)	15	0	0.22	-	 < 0.01	1.00E+00
regulation of cellular response to growth factor stimulus (GO:0090287)	46	0	0.68	-	 < 0.01	1.00E+00
positive regulation of cytokine production (GO:0001819)	9	0	0.13	-	 < 0.01	1.00E+00
mRNA polyadenylation (GO:0006378)	5	0	0.07	-	 < 0.01	1.00E+00
response to toxic substance (GO:0009636)	9	0	0.13	-	 < 0.01	1.00E+00
cytokine production (GO:0001816)	5	0	0.07	-	 < 0.01	1.00E+00
mRNA splice site recognition (GO:0006376)	13	0	0.19	-	 < 0.01	1.00E+00
negative regulation of chromosome segregation (GO:0051985)	9	0	0.13	-	 < 0.01	1.00E+00
iron ion transmembrane transport (GO:0034755)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of chromosome segregation (GO:0051983)	21	0	0.31	-	 < 0.01	1.00E+00
DNA double-strand break processing (GO:0000729)	4	0	0.06	-	 < 0.01	1.00E+00
double-strand break repair via break-induced replication (GO:0000727)	9	0	0.13	-	 < 0.01	1.00E+00
actin filament-based movement (GO:0030048)	17	0	0.25	-	 < 0.01	1.00E+00
recombinational repair (GO:0000725)	58	0	0.85	-	 < 0.01	1.00E+00
epidermis development (GO:0008544)	4	0	0.06	-	 < 0.01	1.00E+00
mitotic G2/M transition checkpoint (GO:0044818)	13	0	0.19	-	 < 0.01	1.00E+00
double-strand break repair via homologous recombination (GO:0000724)	58	0	0.85	-	 < 0.01	1.00E+00
telomere maintenance (GO:0000723)	26	0	0.38	-	 < 0.01	1.00E+00
actin filament depolymerization (GO:0030042)	8	0	0.12	-	 < 0.01	1.00E+00
actin filament polymerization (GO:0030041)	11	0	0.16	-	 < 0.01	1.00E+00
regulation of peptide hormone secretion (GO:0090276)	6	0	0.09	-	 < 0.01	1.00E+00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	0.13	-	 < 0.01	1.00E+00
response to abiotic stimulus (GO:0009628)	77	0	1.13	-	 < 0.01	6.32E-01
glucose metabolic process (GO:0006006)	17	0	0.25	-	 < 0.01	1.00E+00
transcription elongation by RNA polymerase II (GO:0006368)	13	0	0.19	-	 < 0.01	1.00E+00
cell-cell recognition (GO:0009988)	2	0	0.03	-	 < 0.01	1.00E+00
transcription initiation at RNA polymerase II promoter (GO:0006367)	23	0	0.34	-	 < 0.01	1.00E+00
regulation of potassium ion transmembrane transport (GO:1901379)	15	0	0.22	-	 < 0.01	1.00E+00
transcription by RNA polymerase II (GO:0006366)	57	0	0.84	-	 < 0.01	1.00E+00
rRNA processing (GO:0006364)	91	0	1.34	-	 < 0.01	6.46E-01
mRNA 3'-end processing (GO:0031124)	17	0	0.25	-	 < 0.01	1.00E+00
RNA 3'-end processing (GO:0031123)	43	0	0.63	-	 < 0.01	1.00E+00
transcription elongation by RNA polymerase I (GO:0006362)	3	0	0.04	-	 < 0.01	1.00E+00
cytoplasmic microtubule organization (GO:0031122)	22	0	0.32	-	 < 0.01	1.00E+00
transcription by RNA polymerase I (GO:0006360)	11	0	0.16	-	 < 0.01	1.00E+00
cholesterol homeostasis (GO:0042632)	8	0	0.12	-	 < 0.01	1.00E+00
contractile actin filament bundle assembly (GO:0030038)	5	0	0.07	-	 < 0.01	1.00E+00
nucleobase-containing small molecule metabolic process (GO:0055086)	153	0	2.25	-	 < 0.01	1.78E-01
respiratory chain complex IV assembly (GO:0008535)	1	0	0.01	-	 < 0.01	1.00E+00
resolution of meiotic recombination intermediates (GO:0000712)	13	0	0.19	-	 < 0.01	1.00E+00
regulation of postsynapse organization (GO:0099175)	10	0	0.15	-	 < 0.01	1.00E+00
homologous recombination (GO:0035825)	23	0	0.34	-	 < 0.01	1.00E+00
regulation of telomere maintenance (GO:0032204)	6	0	0.09	-	 < 0.01	1.00E+00
inorganic anion transport (GO:0015698)	50	0	0.73	-	 < 0.01	1.00E+00
quaternary ammonium group transport (GO:0015697)	5	0	0.07	-	 < 0.01	1.00E+00
telomere organization (GO:0032200)	26	0	0.38	-	 < 0.01	1.00E+00
organic cation transport (GO:0015695)	6	0	0.09	-	 < 0.01	1.00E+00
defense response to virus (GO:0051607)	4	0	0.06	-	 < 0.01	1.00E+00
response to bacterium (GO:0009617)	16	0	0.23	-	 < 0.01	1.00E+00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	0	0.29	-	 < 0.01	1.00E+00
detection of stimulus (GO:0051606)	25	0	0.37	-	 < 0.01	1.00E+00
response to virus (GO:0009615)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of transcription by RNA polymerase I (GO:0006356)	6	0	0.09	-	 < 0.01	1.00E+00
positive regulation of synapse assembly (GO:0051965)	9	0	0.13	-	 < 0.01	1.00E+00
DNA-templated transcription elongation (GO:0006354)	16	0	0.23	-	 < 0.01	1.00E+00
response to mechanical stimulus (GO:0009612)	10	0	0.15	-	 < 0.01	1.00E+00
positive regulation of nervous system development (GO:0051962)	33	0	0.48	-	 < 0.01	1.00E+00
DNA-templated transcription initiation (GO:0006352)	35	0	0.51	-	 < 0.01	1.00E+00
regulation of actin filament organization (GO:0110053)	64	0	0.94	-	 < 0.01	1.00E+00
DNA-templated transcription (GO:0006351)	89	0	1.31	-	 < 0.01	6.44E-01
regulation of nervous system development (GO:0051960)	51	0	0.75	-	 < 0.01	1.00E+00
organic cyclic compound biosynthetic process (GO:1901362)	229	0	3.36	-	 < 0.01	8.50E-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	23	0	0.34	-	 < 0.01	1.00E+00
organic cyclic compound catabolic process (GO:1901361)	127	0	1.87	-	 < 0.01	2.68E-01
sodium ion homeostasis (GO:0055078)	13	0	0.19	-	 < 0.01	1.00E+00
regulation of body fluid levels (GO:0050878)	15	0	0.22	-	 < 0.01	1.00E+00
regulation of apoptotic process (GO:0042981)	97	0	1.42	-	 < 0.01	4.08E-01
positive regulation of secretion by cell (GO:1903532)	7	0	0.1	-	 < 0.01	1.00E+00
positive regulation of T cell activation (GO:0050870)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of secretion by cell (GO:1903530)	46	0	0.68	-	 < 0.01	1.00E+00
regulation of muscle system process (GO:0090257)	11	0	0.16	-	 < 0.01	1.00E+00
microtubule polymerization or depolymerization (GO:0031109)	30	0	0.44	-	 < 0.01	1.00E+00
negative regulation of signal transduction (GO:0009968)	162	0	2.38	-	 < 0.01	1.80E-01
nucleosome organization (GO:0034728)	13	0	0.19	-	 < 0.01	1.00E+00
piecemeal microautophagy of the nucleus (GO:0034727)	18	0	0.26	-	 < 0.01	1.00E+00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of T cell activation (GO:0050868)	4	0	0.06	-	 < 0.01	1.00E+00
positive regulation of cell activation (GO:0050867)	8	0	0.12	-	 < 0.01	1.00E+00
negative regulation of cell activation (GO:0050866)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of cell activation (GO:0050865)	16	0	0.23	-	 < 0.01	1.00E+00
regulation of T cell activation (GO:0050863)	8	0	0.12	-	 < 0.01	1.00E+00
response to lipid (GO:0033993)	35	0	0.51	-	 < 0.01	1.00E+00
adenosine metabolic process (GO:0046085)	4	0	0.06	-	 < 0.01	1.00E+00
establishment of cell polarity (GO:0030010)	23	0	0.34	-	 < 0.01	1.00E+00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	0.09	-	 < 0.01	1.00E+00
sensory organ development (GO:0007423)	49	0	0.72	-	 < 0.01	1.00E+00
peripheral nervous system development (GO:0007422)	3	0	0.04	-	 < 0.01	1.00E+00
brain development (GO:0007420)	46	0	0.68	-	 < 0.01	1.00E+00
mitochondrial translation (GO:0032543)	14	0	0.21	-	 < 0.01	1.00E+00
mRNA stabilization (GO:0048255)	13	0	0.19	-	 < 0.01	1.00E+00
chromatin remodeling (GO:0006338)	102	0	1.5	-	 < 0.01	4.09E-01
nucleosome assembly (GO:0006334)	9	0	0.13	-	 < 0.01	1.00E+00
cholesterol biosynthetic process (GO:0006695)	7	0	0.1	-	 < 0.01	1.00E+00
dorsal/ventral pattern formation (GO:0009953)	7	0	0.1	-	 < 0.01	1.00E+00
steroid biosynthetic process (GO:0006694)	15	0	0.22	-	 < 0.01	1.00E+00
anterior/posterior pattern specification (GO:0009952)	40	0	0.59	-	 < 0.01	1.00E+00
regulation of systemic arterial blood pressure (GO:0003073)	9	0	0.13	-	 < 0.01	1.00E+00
prostaglandin metabolic process (GO:0006693)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of vasculature development (GO:1901342)	22	0	0.32	-	 < 0.01	1.00E+00
icosanoid metabolic process (GO:0006690)	10	0	0.15	-	 < 0.01	1.00E+00
lytic vacuole organization (GO:0080171)	14	0	0.21	-	 < 0.01	1.00E+00
central nervous system development (GO:0007417)	81	0	1.19	-	 < 0.01	6.35E-01
regulation of cellular component size (GO:0032535)	62	0	0.91	-	 < 0.01	1.00E+00
macrophage chemotaxis (GO:0048246)	1	0	0.01	-	 < 0.01	1.00E+00
sensory organ morphogenesis (GO:0090596)	10	0	0.15	-	 < 0.01	1.00E+00
glycosphingolipid biosynthetic process (GO:0006688)	12	0	0.18	-	 < 0.01	1.00E+00
chromatin organization (GO:0006325)	109	0	1.6	-	 < 0.01	4.14E-01
sperm capacitation (GO:0048240)	1	0	0.01	-	 < 0.01	1.00E+00
positive regulation of establishment of protein localization (GO:1904951)	6	0	0.09	-	 < 0.01	1.00E+00
liposaccharide metabolic process (GO:1903509)	41	0	0.6	-	 < 0.01	1.00E+00
membrane protein proteolysis (GO:0033619)	14	0	0.21	-	 < 0.01	1.00E+00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	0.01	-	 < 0.01	1.00E+00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	0.04	-	 < 0.01	1.00E+00
protein localization to cell junction (GO:1902414)	19	0	0.28	-	 < 0.01	1.00E+00
regulation of microtubule-based process (GO:0032886)	50	0	0.73	-	 < 0.01	1.00E+00
mitotic cytokinetic process (GO:1902410)	3	0	0.04	-	 < 0.01	1.00E+00
male gamete generation (GO:0048232)	20	0	0.29	-	 < 0.01	1.00E+00
regulation of protein localization (GO:0032880)	37	0	0.54	-	 < 0.01	1.00E+00
camera-type eye morphogenesis (GO:0048593)	6	0	0.09	-	 < 0.01	1.00E+00
eye morphogenesis (GO:0048592)	8	0	0.12	-	 < 0.01	1.00E+00
regulation of calcium ion transport (GO:0051924)	21	0	0.31	-	 < 0.01	1.00E+00
mitotic recombination (GO:0006312)	7	0	0.1	-	 < 0.01	1.00E+00
DNA recombination (GO:0006310)	84	0	1.23	-	 < 0.01	6.38E-01
P-body assembly (GO:0033962)	10	0	0.15	-	 < 0.01	1.00E+00
developmental growth (GO:0048589)	7	0	0.1	-	 < 0.01	1.00E+00
developmental cell growth (GO:0048588)	5	0	0.07	-	 < 0.01	1.00E+00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	0	0.28	-	 < 0.01	1.00E+00
negative regulation of response to stimulus (GO:0048585)	186	0	2.73	-	 < 0.01	1.19E-01
DNA catabolic process (GO:0006308)	4	0	0.06	-	 < 0.01	1.00E+00
cellular response to hormone stimulus (GO:0032870)	73	0	1.07	-	 < 0.01	6.30E-01
DNA methylation (GO:0006306)	5	0	0.07	-	 < 0.01	1.00E+00
glycosylation (GO:0070085)	105	0	1.54	-	 < 0.01	4.11E-01
DNA alkylation (GO:0006305)	5	0	0.07	-	 < 0.01	1.00E+00
DNA modification (GO:0006304)	12	0	0.18	-	 < 0.01	1.00E+00
double-strand break repair via nonhomologous end joining (GO:0006303)	17	0	0.25	-	 < 0.01	1.00E+00
glycolipid metabolic process (GO:0006664)	40	0	0.59	-	 < 0.01	1.00E+00
double-strand break repair (GO:0006302)	98	0	1.44	-	 < 0.01	4.08E-01
postreplication repair (GO:0006301)	15	0	0.22	-	 < 0.01	1.00E+00
dipeptide transport (GO:0042938)	2	0	0.03	-	 < 0.01	1.00E+00
vesicle transport along microtubule (GO:0047496)	17	0	0.25	-	 < 0.01	1.00E+00
defense response to Gram-negative bacterium (GO:0050829)	1	0	0.01	-	 < 0.01	1.00E+00
protein stabilization (GO:0050821)	15	0	0.22	-	 < 0.01	1.00E+00
endosome transport via multivesicular body sorting pathway (GO:0032509)	26	0	0.38	-	 < 0.01	1.00E+00
DNA duplex unwinding (GO:0032508)	12	0	0.18	-	 < 0.01	1.00E+00
cellular response to insulin stimulus (GO:0032869)	17	0	0.25	-	 < 0.01	1.00E+00
cytokinetic process (GO:0032506)	12	0	0.18	-	 < 0.01	1.00E+00
IMP metabolic process (GO:0046040)	9	0	0.13	-	 < 0.01	1.00E+00
multicellular organism reproduction (GO:0032504)	32	0	0.47	-	 < 0.01	1.00E+00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	17	0	0.25	-	 < 0.01	1.00E+00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	0.03	-	 < 0.01	1.00E+00
hormone transport (GO:0009914)	3	0	0.04	-	 < 0.01	1.00E+00
epidermal cell differentiation (GO:0009913)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of coagulation (GO:0050819)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of coagulation (GO:0050818)	8	0	0.12	-	 < 0.01	1.00E+00
coagulation (GO:0050817)	9	0	0.13	-	 < 0.01	1.00E+00
regulation of cellular response to stress (GO:0080135)	32	0	0.47	-	 < 0.01	1.00E+00
regulation of response to stress (GO:0080134)	72	0	1.06	-	 < 0.01	6.29E-01
ATP metabolic process (GO:0046034)	20	0	0.29	-	 < 0.01	1.00E+00
carboxylic acid catabolic process (GO:0046395)	76	0	1.12	-	 < 0.01	6.31E-01
carboxylic acid biosynthetic process (GO:0046394)	60	0	0.88	-	 < 0.01	1.00E+00
regulation of cell cycle G2/M phase transition (GO:1902749)	24	0	0.35	-	 < 0.01	1.00E+00
ribose phosphate biosynthetic process (GO:0046390)	41	0	0.6	-	 < 0.01	1.00E+00
embryonic organ development (GO:0048568)	28	0	0.41	-	 < 0.01	1.00E+00
glycosyl compound catabolic process (GO:1901658)	13	0	0.19	-	 < 0.01	1.00E+00
energy derivation by oxidation of organic compounds (GO:0015980)	41	0	0.6	-	 < 0.01	1.00E+00
glycosyl compound metabolic process (GO:1901657)	24	0	0.35	-	 < 0.01	1.00E+00
triglyceride metabolic process (GO:0006641)	16	0	0.23	-	 < 0.01	1.00E+00
cellular response to peptide (GO:1901653)	31	0	0.46	-	 < 0.01	1.00E+00
negative regulation of protein modification process (GO:0031400)	43	0	0.63	-	 < 0.01	1.00E+00
cardiac muscle cell differentiation (GO:0055007)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of synapse organization (GO:0050807)	19	0	0.28	-	 < 0.01	1.00E+00
positive regulation of protein localization (GO:1903829)	12	0	0.18	-	 < 0.01	1.00E+00
melanocyte differentiation (GO:0030318)	3	0	0.04	-	 < 0.01	1.00E+00
flagellated sperm motility (GO:0030317)	1	0	0.01	-	 < 0.01	1.00E+00
organic acid transmembrane transport (GO:1903825)	55	0	0.81	-	 < 0.01	1.00E+00
regulation of synapse structure or activity (GO:0050803)	20	0	0.29	-	 < 0.01	1.00E+00
osteoclast differentiation (GO:0030316)	4	0	0.06	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	0.04	-	 < 0.01	1.00E+00
acylglycerol metabolic process (GO:0006639)	22	0	0.32	-	 < 0.01	1.00E+00
neutral lipid metabolic process (GO:0006638)	22	0	0.32	-	 < 0.01	1.00E+00
acyl-CoA metabolic process (GO:0006637)	20	0	0.29	-	 < 0.01	1.00E+00
nuclear envelope organization (GO:0006998)	11	0	0.16	-	 < 0.01	1.00E+00
unsaturated fatty acid biosynthetic process (GO:0006636)	6	0	0.09	-	 < 0.01	1.00E+00
fatty acid beta-oxidation (GO:0006635)	23	0	0.34	-	 < 0.01	1.00E+00
nucleus organization (GO:0006997)	16	0	0.23	-	 < 0.01	1.00E+00
heart process (GO:0003015)	21	0	0.31	-	 < 0.01	1.00E+00
"mRNA cis splicing, via spliceosome (GO:0045292)"	4	0	0.06	-	 < 0.01	1.00E+00
fatty acid biosynthetic process (GO:0006633)	28	0	0.41	-	 < 0.01	1.00E+00
circulatory system process (GO:0003013)	44	0	0.65	-	 < 0.01	1.00E+00
chaperone-mediated protein folding (GO:0061077)	13	0	0.19	-	 < 0.01	1.00E+00
fatty acid metabolic process (GO:0006631)	83	0	1.22	-	 < 0.01	6.37E-01
ERBB signaling pathway (GO:0038127)	15	0	0.22	-	 < 0.01	1.00E+00
cellular process involved in reproduction in multicellular organism (GO:0022412)	26	0	0.38	-	 < 0.01	1.00E+00
clathrin-dependent endocytosis (GO:0072583)	13	0	0.19	-	 < 0.01	1.00E+00
cellular component disassembly (GO:0022411)	96	0	1.41	-	 < 0.01	4.08E-01
T cell activation involved in immune response (GO:0002286)	2	0	0.03	-	 < 0.01	1.00E+00
lymphocyte activation involved in immune response (GO:0002285)	2	0	0.03	-	 < 0.01	1.00E+00
DNA demethylation (GO:0080111)	6	0	0.09	-	 < 0.01	1.00E+00
cholesterol transport (GO:0030301)	12	0	0.18	-	 < 0.01	1.00E+00
positive regulation of cation channel activity (GO:2001259)	5	0	0.07	-	 < 0.01	1.00E+00
response to steroid hormone (GO:0048545)	9	0	0.13	-	 < 0.01	1.00E+00
skeletal muscle contraction (GO:0003009)	8	0	0.12	-	 < 0.01	1.00E+00
negative regulation of chromosome organization (GO:2001251)	10	0	0.15	-	 < 0.01	1.00E+00
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	34	0	0.5	-	 < 0.01	1.00E+00
heart morphogenesis (GO:0003007)	12	0	0.18	-	 < 0.01	1.00E+00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	0.01	-	 < 0.01	1.00E+00
developmental process involved in reproduction (GO:0003006)	32	0	0.47	-	 < 0.01	1.00E+00
protein targeting to mitochondrion (GO:0006626)	19	0	0.28	-	 < 0.01	1.00E+00
response to unfolded protein (GO:0006986)	20	0	0.29	-	 < 0.01	1.00E+00
protein targeting to lysosome (GO:0006622)	2	0	0.03	-	 < 0.01	1.00E+00
positive regulation of cell-cell adhesion (GO:0022409)	11	0	0.16	-	 < 0.01	1.00E+00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of cell-cell adhesion (GO:0022407)	19	0	0.28	-	 < 0.01	1.00E+00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	30	0	0.44	-	 < 0.01	1.00E+00
regulation of mitotic cell cycle phase transition (GO:1901990)	56	0	0.82	-	 < 0.01	1.00E+00
visual system development (GO:0150063)	34	0	0.5	-	 < 0.01	1.00E+00
cellular response to light stimulus (GO:0071482)	10	0	0.15	-	 < 0.01	1.00E+00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	0.06	-	 < 0.01	1.00E+00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	0.1	-	 < 0.01	1.00E+00
negative regulation of cell cycle phase transition (GO:1901988)	48	0	0.7	-	 < 0.01	1.00E+00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	8	0	0.12	-	 < 0.01	1.00E+00
interstrand cross-link repair (GO:0036297)	13	0	0.19	-	 < 0.01	1.00E+00
regulation of cell cycle phase transition (GO:1901987)	79	0	1.16	-	 < 0.01	6.33E-01
cotranslational protein targeting to membrane (GO:0006613)	8	0	0.12	-	 < 0.01	1.00E+00
DNA damage response (GO:0006974)	225	0	3.3	-	 < 0.01	8.31E-02
response to osmotic stress (GO:0006970)	4	0	0.06	-	 < 0.01	1.00E+00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	0.06	-	 < 0.01	1.00E+00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	0.16	-	 < 0.01	1.00E+00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	0.22	-	 < 0.01	1.00E+00
positive regulation of apoptotic signaling pathway (GO:2001235)	8	0	0.12	-	 < 0.01	1.00E+00
negative regulation of apoptotic signaling pathway (GO:2001234)	17	0	0.25	-	 < 0.01	1.00E+00
regulation of apoptotic signaling pathway (GO:2001233)	25	0	0.37	-	 < 0.01	1.00E+00
NLS-bearing protein import into nucleus (GO:0006607)	10	0	0.15	-	 < 0.01	1.00E+00
organic hydroxy compound biosynthetic process (GO:1901617)	44	0	0.65	-	 < 0.01	1.00E+00
organic hydroxy compound metabolic process (GO:1901615)	82	0	1.2	-	 < 0.01	6.36E-01
