PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.fst.csv (60)	intersection.fst.csv (expected)	intersection.fst.csv (over/under)	intersection.fst.csv (fold Enrichment)	P-value
response to virus (GO:0009615)	3	0	0.01	-	 < 0.01	1.00E+00
protein maturation (GO:0051604)	177	0	0.85	-	 < 0.01	1.00E+00
"regulation of synaptic transmission, glutamatergic (GO:0051966)"	13	0	0.06	-	 < 0.01	1.00E+00
regulation of transcription by RNA polymerase I (GO:0006356)	6	0	0.03	-	 < 0.01	1.00E+00
proteolysis involved in protein catabolic process (GO:0051603)	264	0	1.27	-	 < 0.01	6.40E-01
positive regulation of synapse assembly (GO:0051965)	9	0	0.04	-	 < 0.01	1.00E+00
DNA-templated transcription elongation (GO:0006354)	16	0	0.08	-	 < 0.01	1.00E+00
response to mechanical stimulus (GO:0009612)	10	0	0.05	-	 < 0.01	1.00E+00
response to wounding (GO:0009611)	25	0	0.12	-	 < 0.01	1.00E+00
positive regulation of nervous system development (GO:0051962)	30	0	0.14	-	 < 0.01	1.00E+00
DNA-templated transcription initiation (GO:0006352)	35	0	0.17	-	 < 0.01	1.00E+00
regulation of actin filament organization (GO:0110053)	63	0	0.3	-	 < 0.01	1.00E+00
DNA-templated transcription (GO:0006351)	88	0	0.42	-	 < 0.01	1.00E+00
regulation of nervous system development (GO:0051960)	46	0	0.22	-	 < 0.01	1.00E+00
organic cyclic compound biosynthetic process (GO:1901362)	225	0	1.09	-	 < 0.01	6.30E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	22	0	0.11	-	 < 0.01	1.00E+00
organic cyclic compound catabolic process (GO:1901361)	127	0	0.61	-	 < 0.01	1.00E+00
sodium ion homeostasis (GO:0055078)	13	0	0.06	-	 < 0.01	1.00E+00
actin filament-based process (GO:0030029)	232	0	1.12	-	 < 0.01	6.31E-01
regulation of body fluid levels (GO:0050878)	14	0	0.07	-	 < 0.01	1.00E+00
nervous system process (GO:0050877)	61	0	0.29	-	 < 0.01	1.00E+00
regulation of apoptotic process (GO:0042981)	95	0	0.46	-	 < 0.01	1.00E+00
calcium ion homeostasis (GO:0055074)	63	0	0.3	-	 < 0.01	1.00E+00
positive regulation of T cell activation (GO:0050870)	5	0	0.02	-	 < 0.01	1.00E+00
response to biotic stimulus (GO:0009607)	44	0	0.21	-	 < 0.01	1.00E+00
microtubule polymerization or depolymerization (GO:0031109)	29	0	0.14	-	 < 0.01	1.00E+00
negative regulation of signal transduction (GO:0009968)	162	0	0.78	-	 < 0.01	1.00E+00
nucleosome organization (GO:0034728)	13	0	0.06	-	 < 0.01	1.00E+00
positive regulation of signal transduction (GO:0009967)	178	0	0.86	-	 < 0.01	1.00E+00
piecemeal microautophagy of the nucleus (GO:0034727)	18	0	0.09	-	 < 0.01	1.00E+00
DNA methylation-dependent heterochromatin formation (GO:0006346)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of signal transduction (GO:0009966)	466	0	2.25	-	 < 0.01	1.74E-01
negative regulation of T cell activation (GO:0050868)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of cell activation (GO:0050867)	8	0	0.04	-	 < 0.01	1.00E+00
negative regulation of cell activation (GO:0050866)	6	0	0.03	-	 < 0.01	1.00E+00
regulation of cell activation (GO:0050865)	16	0	0.08	-	 < 0.01	1.00E+00
regulation of T cell activation (GO:0050863)	8	0	0.04	-	 < 0.01	1.00E+00
response to lipid (GO:0033993)	34	0	0.16	-	 < 0.01	1.00E+00
adenosine metabolic process (GO:0046085)	4	0	0.02	-	 < 0.01	1.00E+00
establishment of cell polarity (GO:0030010)	23	0	0.11	-	 < 0.01	1.00E+00
regulation of receptor-mediated endocytosis (GO:0048259)	6	0	0.03	-	 < 0.01	1.00E+00
sensory organ development (GO:0007423)	46	0	0.22	-	 < 0.01	1.00E+00
peripheral nervous system development (GO:0007422)	3	0	0.01	-	 < 0.01	1.00E+00
brain development (GO:0007420)	45	0	0.22	-	 < 0.01	1.00E+00
mitochondrial translation (GO:0032543)	14	0	0.07	-	 < 0.01	1.00E+00
mRNA stabilization (GO:0048255)	11	0	0.05	-	 < 0.01	1.00E+00
chromatin remodeling (GO:0006338)	99	0	0.48	-	 < 0.01	1.00E+00
nucleosome assembly (GO:0006334)	9	0	0.04	-	 < 0.01	1.00E+00
cholesterol biosynthetic process (GO:0006695)	7	0	0.03	-	 < 0.01	1.00E+00
dorsal/ventral pattern formation (GO:0009953)	7	0	0.03	-	 < 0.01	1.00E+00
steroid biosynthetic process (GO:0006694)	15	0	0.07	-	 < 0.01	1.00E+00
anterior/posterior pattern specification (GO:0009952)	29	0	0.14	-	 < 0.01	1.00E+00
regulation of systemic arterial blood pressure (GO:0003073)	9	0	0.04	-	 < 0.01	1.00E+00
prostaglandin metabolic process (GO:0006693)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of vasculature development (GO:1901342)	22	0	0.11	-	 < 0.01	1.00E+00
icosanoid metabolic process (GO:0006690)	10	0	0.05	-	 < 0.01	1.00E+00
regulation of cell adhesion mediated by integrin (GO:0033628)	6	0	0.03	-	 < 0.01	1.00E+00
cell adhesion mediated by integrin (GO:0033627)	23	0	0.11	-	 < 0.01	1.00E+00
B cell receptor signaling pathway (GO:0050853)	10	0	0.05	-	 < 0.01	1.00E+00
T cell receptor signaling pathway (GO:0050852)	18	0	0.09	-	 < 0.01	1.00E+00
intracellular monoatomic cation homeostasis (GO:0030003)	112	0	0.54	-	 < 0.01	1.00E+00
antigen receptor-mediated signaling pathway (GO:0050851)	24	0	0.12	-	 < 0.01	1.00E+00
lytic vacuole organization (GO:0080171)	14	0	0.07	-	 < 0.01	1.00E+00
central nervous system development (GO:0007417)	76	0	0.37	-	 < 0.01	1.00E+00
regulation of cellular component size (GO:0032535)	62	0	0.3	-	 < 0.01	1.00E+00
macrophage chemotaxis (GO:0048246)	1	0	0	-	 < 0.01	1.00E+00
sensory organ morphogenesis (GO:0090596)	10	0	0.05	-	 < 0.01	1.00E+00
glycosphingolipid biosynthetic process (GO:0006688)	11	0	0.05	-	 < 0.01	1.00E+00
cellular response to nitrogen compound (GO:1901699)	74	0	0.36	-	 < 0.01	1.00E+00
chromatin organization (GO:0006325)	106	0	0.51	-	 < 0.01	1.00E+00
sperm capacitation (GO:0048240)	1	0	0	-	 < 0.01	1.00E+00
response to nitrogen compound (GO:1901698)	119	0	0.57	-	 < 0.01	1.00E+00
positive regulation of establishment of protein localization (GO:1904951)	6	0	0.03	-	 < 0.01	1.00E+00
liposaccharide metabolic process (GO:1903509)	39	0	0.19	-	 < 0.01	1.00E+00
membrane protein proteolysis (GO:0033619)	14	0	0.07	-	 < 0.01	1.00E+00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1	0	0	-	 < 0.01	1.00E+00
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of microtubule-based process (GO:0032886)	48	0	0.23	-	 < 0.01	1.00E+00
embryonic morphogenesis (GO:0048598)	35	0	0.17	-	 < 0.01	1.00E+00
mitotic cytokinetic process (GO:1902410)	3	0	0.01	-	 < 0.01	1.00E+00
male gamete generation (GO:0048232)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of protein localization (GO:0032880)	37	0	0.18	-	 < 0.01	1.00E+00
camera-type eye morphogenesis (GO:0048593)	6	0	0.03	-	 < 0.01	1.00E+00
eye morphogenesis (GO:0048592)	8	0	0.04	-	 < 0.01	1.00E+00
regulation of calcium ion transport (GO:0051924)	19	0	0.09	-	 < 0.01	1.00E+00
mitotic recombination (GO:0006312)	7	0	0.03	-	 < 0.01	1.00E+00
ceramide metabolic process (GO:0006672)	38	0	0.18	-	 < 0.01	1.00E+00
DNA recombination (GO:0006310)	83	0	0.4	-	 < 0.01	1.00E+00
P-body assembly (GO:0033962)	10	0	0.05	-	 < 0.01	1.00E+00
developmental growth (GO:0048589)	7	0	0.03	-	 < 0.01	1.00E+00
developmental cell growth (GO:0048588)	5	0	0.02	-	 < 0.01	1.00E+00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	18	0	0.09	-	 < 0.01	1.00E+00
DNA catabolic process (GO:0006308)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of response to stimulus (GO:0048584)	247	0	1.19	-	 < 0.01	6.34E-01
cellular response to hormone stimulus (GO:0032870)	73	0	0.35	-	 < 0.01	1.00E+00
DNA methylation (GO:0006306)	5	0	0.02	-	 < 0.01	1.00E+00
DNA alkylation (GO:0006305)	5	0	0.02	-	 < 0.01	1.00E+00
DNA modification (GO:0006304)	12	0	0.06	-	 < 0.01	1.00E+00
sphingolipid metabolic process (GO:0006665)	55	0	0.27	-	 < 0.01	1.00E+00
double-strand break repair via nonhomologous end joining (GO:0006303)	17	0	0.08	-	 < 0.01	1.00E+00
glycolipid metabolic process (GO:0006664)	38	0	0.18	-	 < 0.01	1.00E+00
postreplication repair (GO:0006301)	15	0	0.07	-	 < 0.01	1.00E+00
dipeptide transport (GO:0042938)	2	0	0.01	-	 < 0.01	1.00E+00
vesicle transport along microtubule (GO:0047496)	17	0	0.08	-	 < 0.01	1.00E+00
defense response to Gram-negative bacterium (GO:0050829)	1	0	0	-	 < 0.01	1.00E+00
negative regulation of cell migration (GO:0030336)	10	0	0.05	-	 < 0.01	1.00E+00
positive regulation of cell migration (GO:0030335)	50	0	0.24	-	 < 0.01	1.00E+00
regulation of cell migration (GO:0030334)	93	0	0.45	-	 < 0.01	1.00E+00
protein stabilization (GO:0050821)	15	0	0.07	-	 < 0.01	1.00E+00
microtubule-based transport (GO:0099111)	55	0	0.27	-	 < 0.01	1.00E+00
endosome transport via multivesicular body sorting pathway (GO:0032509)	25	0	0.12	-	 < 0.01	1.00E+00
DNA duplex unwinding (GO:0032508)	12	0	0.06	-	 < 0.01	1.00E+00
cellular response to insulin stimulus (GO:0032869)	17	0	0.08	-	 < 0.01	1.00E+00
cytokinetic process (GO:0032506)	11	0	0.05	-	 < 0.01	1.00E+00
response to insulin (GO:0032868)	19	0	0.09	-	 < 0.01	1.00E+00
IMP metabolic process (GO:0046040)	9	0	0.04	-	 < 0.01	1.00E+00
multicellular organism reproduction (GO:0032504)	29	0	0.14	-	 < 0.01	1.00E+00
negative regulation of cell cycle G2/M phase transition (GO:1902750)	16	0	0.08	-	 < 0.01	1.00E+00
hormone transport (GO:0009914)	3	0	0.01	-	 < 0.01	1.00E+00
phosphatidylcholine biosynthetic process (GO:0006656)	2	0	0.01	-	 < 0.01	1.00E+00
epidermal cell differentiation (GO:0009913)	2	0	0.01	-	 < 0.01	1.00E+00
negative regulation of coagulation (GO:0050819)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of coagulation (GO:0050818)	8	0	0.04	-	 < 0.01	1.00E+00
coagulation (GO:0050817)	9	0	0.04	-	 < 0.01	1.00E+00
regulation of cellular response to stress (GO:0080135)	32	0	0.15	-	 < 0.01	1.00E+00
ATP metabolic process (GO:0046034)	20	0	0.1	-	 < 0.01	1.00E+00
carboxylic acid catabolic process (GO:0046395)	76	0	0.37	-	 < 0.01	1.00E+00
carboxylic acid biosynthetic process (GO:0046394)	60	0	0.29	-	 < 0.01	1.00E+00
regulation of cell cycle G2/M phase transition (GO:1902749)	22	0	0.11	-	 < 0.01	1.00E+00
ribose phosphate biosynthetic process (GO:0046390)	40	0	0.19	-	 < 0.01	1.00E+00
embryonic organ development (GO:0048568)	22	0	0.11	-	 < 0.01	1.00E+00
glycosyl compound catabolic process (GO:1901658)	13	0	0.06	-	 < 0.01	1.00E+00
energy derivation by oxidation of organic compounds (GO:0015980)	41	0	0.2	-	 < 0.01	1.00E+00
glycosyl compound metabolic process (GO:1901657)	24	0	0.12	-	 < 0.01	1.00E+00
membrane lipid metabolic process (GO:0006643)	76	0	0.37	-	 < 0.01	1.00E+00
triglyceride metabolic process (GO:0006641)	16	0	0.08	-	 < 0.01	1.00E+00
cellular response to peptide (GO:1901653)	31	0	0.15	-	 < 0.01	1.00E+00
positive regulation of protein modification process (GO:0031401)	81	0	0.39	-	 < 0.01	1.00E+00
establishment of protein localization to endoplasmic reticulum (GO:0072599)	14	0	0.07	-	 < 0.01	1.00E+00
response to peptide (GO:1901652)	36	0	0.17	-	 < 0.01	1.00E+00
negative regulation of protein modification process (GO:0031400)	42	0	0.2	-	 < 0.01	1.00E+00
cardiac muscle cell differentiation (GO:0055007)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of synapse organization (GO:0050807)	19	0	0.09	-	 < 0.01	1.00E+00
positive regulation of protein localization (GO:1903829)	12	0	0.06	-	 < 0.01	1.00E+00
positive regulation of synaptic transmission (GO:0050806)	20	0	0.1	-	 < 0.01	1.00E+00
melanocyte differentiation (GO:0030318)	3	0	0.01	-	 < 0.01	1.00E+00
establishment of protein localization to organelle (GO:0072594)	120	0	0.58	-	 < 0.01	1.00E+00
flagellated sperm motility (GO:0030317)	1	0	0	-	 < 0.01	1.00E+00
organic acid transmembrane transport (GO:1903825)	55	0	0.27	-	 < 0.01	1.00E+00
striated muscle cell development (GO:0055002)	26	0	0.13	-	 < 0.01	1.00E+00
regulation of synapse structure or activity (GO:0050803)	20	0	0.1	-	 < 0.01	1.00E+00
osteoclast differentiation (GO:0030316)	4	0	0.02	-	 < 0.01	1.00E+00
monoatomic ion homeostasis (GO:0050801)	135	0	0.65	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	3	0	0.01	-	 < 0.01	1.00E+00
acylglycerol metabolic process (GO:0006639)	22	0	0.11	-	 < 0.01	1.00E+00
neutral lipid metabolic process (GO:0006638)	22	0	0.11	-	 < 0.01	1.00E+00
acyl-CoA metabolic process (GO:0006637)	20	0	0.1	-	 < 0.01	1.00E+00
nuclear envelope organization (GO:0006998)	11	0	0.05	-	 < 0.01	1.00E+00
unsaturated fatty acid biosynthetic process (GO:0006636)	6	0	0.03	-	 < 0.01	1.00E+00
fatty acid beta-oxidation (GO:0006635)	23	0	0.11	-	 < 0.01	1.00E+00
nucleus organization (GO:0006997)	16	0	0.08	-	 < 0.01	1.00E+00
heart process (GO:0003015)	20	0	0.1	-	 < 0.01	1.00E+00
fatty acid biosynthetic process (GO:0006633)	28	0	0.14	-	 < 0.01	1.00E+00
muscle system process (GO:0003012)	33	0	0.16	-	 < 0.01	1.00E+00
chaperone-mediated protein folding (GO:0061077)	13	0	0.06	-	 < 0.01	1.00E+00
fatty acid metabolic process (GO:0006631)	83	0	0.4	-	 < 0.01	1.00E+00
reproductive process (GO:0022414)	83	0	0.4	-	 < 0.01	1.00E+00
ERBB signaling pathway (GO:0038127)	13	0	0.06	-	 < 0.01	1.00E+00
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	0	0.11	-	 < 0.01	1.00E+00
clathrin-dependent endocytosis (GO:0072583)	13	0	0.06	-	 < 0.01	1.00E+00
cellular component disassembly (GO:0022411)	95	0	0.46	-	 < 0.01	1.00E+00
T cell activation involved in immune response (GO:0002286)	2	0	0.01	-	 < 0.01	1.00E+00
lymphocyte activation involved in immune response (GO:0002285)	2	0	0.01	-	 < 0.01	1.00E+00
DNA demethylation (GO:0080111)	6	0	0.03	-	 < 0.01	1.00E+00
cholesterol transport (GO:0030301)	12	0	0.06	-	 < 0.01	1.00E+00
macrophage activation involved in immune response (GO:0002281)	2	0	0.01	-	 < 0.01	1.00E+00
cellular response to external stimulus (GO:0071496)	28	0	0.14	-	 < 0.01	1.00E+00
cellular response to endogenous stimulus (GO:0071495)	177	0	0.85	-	 < 0.01	1.00E+00
positive regulation of cation channel activity (GO:2001259)	5	0	0.02	-	 < 0.01	1.00E+00
response to steroid hormone (GO:0048545)	9	0	0.04	-	 < 0.01	1.00E+00
skeletal muscle contraction (GO:0003009)	8	0	0.04	-	 < 0.01	1.00E+00
negative regulation of chromosome organization (GO:2001251)	10	0	0.05	-	 < 0.01	1.00E+00
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	34	0	0.16	-	 < 0.01	1.00E+00
heart morphogenesis (GO:0003007)	12	0	0.06	-	 < 0.01	1.00E+00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	1	0	0	-	 < 0.01	1.00E+00
developmental process involved in reproduction (GO:0003006)	29	0	0.14	-	 < 0.01	1.00E+00
protein targeting to mitochondrion (GO:0006626)	18	0	0.09	-	 < 0.01	1.00E+00
response to unfolded protein (GO:0006986)	20	0	0.1	-	 < 0.01	1.00E+00
protein targeting to vacuole (GO:0006623)	14	0	0.07	-	 < 0.01	1.00E+00
regionalization (GO:0003002)	38	0	0.18	-	 < 0.01	1.00E+00
protein targeting to lysosome (GO:0006622)	2	0	0.01	-	 < 0.01	1.00E+00
positive regulation of cell-cell adhesion (GO:0022409)	11	0	0.05	-	 < 0.01	1.00E+00
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	8	0	0.04	-	 < 0.01	1.00E+00
negative regulation of cell-cell adhesion (GO:0022408)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of cell-cell adhesion (GO:0022407)	19	0	0.09	-	 < 0.01	1.00E+00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	0	0.14	-	 < 0.01	1.00E+00
regulation of mitotic cell cycle phase transition (GO:1901990)	54	0	0.26	-	 < 0.01	1.00E+00
myeloid leukocyte activation (GO:0002274)	3	0	0.01	-	 < 0.01	1.00E+00
visual system development (GO:0150063)	34	0	0.16	-	 < 0.01	1.00E+00
cellular response to light stimulus (GO:0071482)	10	0	0.05	-	 < 0.01	1.00E+00
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	7	0	0.03	-	 < 0.01	1.00E+00
response to oxidative stress (GO:0006979)	24	0	0.12	-	 < 0.01	1.00E+00
negative regulation of cell cycle phase transition (GO:1901988)	47	0	0.23	-	 < 0.01	1.00E+00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	8	0	0.04	-	 < 0.01	1.00E+00
interstrand cross-link repair (GO:0036297)	13	0	0.06	-	 < 0.01	1.00E+00
regulation of cell cycle phase transition (GO:1901987)	77	0	0.37	-	 < 0.01	1.00E+00
cotranslational protein targeting to membrane (GO:0006613)	8	0	0.04	-	 < 0.01	1.00E+00
protein targeting to membrane (GO:0006612)	33	0	0.16	-	 < 0.01	1.00E+00
protein export from nucleus (GO:0006611)	9	0	0.04	-	 < 0.01	1.00E+00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	2	0	0.01	-	 < 0.01	1.00E+00
response to osmotic stress (GO:0006970)	4	0	0.02	-	 < 0.01	1.00E+00
cell activation involved in immune response (GO:0002263)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of cellular pH (GO:0030641)	29	0	0.14	-	 < 0.01	1.00E+00
positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	4	0	0.02	-	 < 0.01	1.00E+00
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	15	0	0.07	-	 < 0.01	1.00E+00
positive regulation of apoptotic signaling pathway (GO:2001235)	8	0	0.04	-	 < 0.01	1.00E+00
negative regulation of apoptotic signaling pathway (GO:2001234)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of apoptotic signaling pathway (GO:2001233)	25	0	0.12	-	 < 0.01	1.00E+00
NLS-bearing protein import into nucleus (GO:0006607)	10	0	0.05	-	 < 0.01	1.00E+00
protein import into nucleus (GO:0006606)	39	0	0.19	-	 < 0.01	1.00E+00
organic hydroxy compound biosynthetic process (GO:1901617)	43	0	0.21	-	 < 0.01	1.00E+00
organic hydroxy compound metabolic process (GO:1901615)	80	0	0.39	-	 < 0.01	1.00E+00
sensory system development (GO:0048880)	34	0	0.16	-	 < 0.01	1.00E+00
G2/M transition of mitotic cell cycle (GO:0000086)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of cell motility (GO:2000147)	53	0	0.26	-	 < 0.01	1.00E+00
negative regulation of cell motility (GO:2000146)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of cell motility (GO:2000145)	97	0	0.47	-	 < 0.01	1.00E+00
cilium movement (GO:0003341)	20	0	0.1	-	 < 0.01	1.00E+00
G1/S transition of mitotic cell cycle (GO:0000082)	17	0	0.08	-	 < 0.01	1.00E+00
regulation of wound healing (GO:0061041)	7	0	0.03	-	 < 0.01	1.00E+00
miRNA processing (GO:0035196)	12	0	0.06	-	 < 0.01	1.00E+00
amino sugar catabolic process (GO:0046348)	3	0	0.01	-	 < 0.01	1.00E+00
activation of immune response (GO:0002253)	44	0	0.21	-	 < 0.01	1.00E+00
protein K48-linked deubiquitination (GO:0071108)	4	0	0.02	-	 < 0.01	1.00E+00
immune effector process (GO:0002252)	12	0	0.06	-	 < 0.01	1.00E+00
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	9	0	0.04	-	 < 0.01	1.00E+00
negative regulation of catalytic activity (GO:0043086)	61	0	0.29	-	 < 0.01	1.00E+00
adaptive immune response (GO:0002250)	9	0	0.04	-	 < 0.01	1.00E+00
DNA conformation change (GO:0071103)	16	0	0.08	-	 < 0.01	1.00E+00
chemical homeostasis (GO:0048878)	177	0	0.85	-	 < 0.01	1.00E+00
spermatid differentiation (GO:0048515)	3	0	0.01	-	 < 0.01	1.00E+00
humoral immune response (GO:0006959)	9	0	0.04	-	 < 0.01	1.00E+00
nucleobase-containing compound transport (GO:0015931)	63	0	0.3	-	 < 0.01	1.00E+00
rhythmic process (GO:0048511)	24	0	0.12	-	 < 0.01	1.00E+00
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	25	0	0.12	-	 < 0.01	1.00E+00
alpha-amino acid biosynthetic process (GO:1901607)	27	0	0.13	-	 < 0.01	1.00E+00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	13	0	0.06	-	 < 0.01	1.00E+00
complement activation (GO:0006956)	6	0	0.03	-	 < 0.01	1.00E+00
alpha-amino acid metabolic process (GO:1901605)	80	0	0.39	-	 < 0.01	1.00E+00
immune response (GO:0006955)	59	0	0.28	-	 < 0.01	1.00E+00
cell motility (GO:0048870)	192	0	0.93	-	 < 0.01	1.00E+00
DNA damage checkpoint signaling (GO:0000077)	21	0	0.1	-	 < 0.01	1.00E+00
regulation of ERK1 and ERK2 cascade (GO:0070372)	17	0	0.08	-	 < 0.01	1.00E+00
DNA replication checkpoint signaling (GO:0000076)	9	0	0.04	-	 < 0.01	1.00E+00
amino acid transmembrane transport (GO:0003333)	45	0	0.22	-	 < 0.01	1.00E+00
cell cycle checkpoint signaling (GO:0000075)	38	0	0.18	-	 < 0.01	1.00E+00
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	6	0	0.03	-	 < 0.01	1.00E+00
hematopoietic progenitor cell differentiation (GO:0002244)	1	0	0	-	 < 0.01	1.00E+00
proteasomal protein catabolic process (GO:0010498)	146	0	0.7	-	 < 0.01	1.00E+00
positive regulation of JNK cascade (GO:0046330)	8	0	0.04	-	 < 0.01	1.00E+00
response to cytokine (GO:0034097)	70	0	0.34	-	 < 0.01	1.00E+00
stem cell development (GO:0048864)	30	0	0.14	-	 < 0.01	1.00E+00
syncytium formation (GO:0006949)	3	0	0.01	-	 < 0.01	1.00E+00
stem cell differentiation (GO:0048863)	30	0	0.14	-	 < 0.01	1.00E+00
membrane fusion (GO:0061025)	53	0	0.26	-	 < 0.01	1.00E+00
striated muscle contraction (GO:0006941)	20	0	0.1	-	 < 0.01	1.00E+00
response to molecule of bacterial origin (GO:0002237)	13	0	0.06	-	 < 0.01	1.00E+00
regulation of JNK cascade (GO:0046328)	12	0	0.06	-	 < 0.01	1.00E+00
negative regulation of programmed cell death (GO:0043069)	51	0	0.25	-	 < 0.01	1.00E+00
negative regulation of apoptotic process (GO:0043066)	50	0	0.24	-	 < 0.01	1.00E+00
positive regulation of apoptotic process (GO:0043065)	33	0	0.16	-	 < 0.01	1.00E+00
cilium movement involved in cell motility (GO:0060294)	10	0	0.05	-	 < 0.01	1.00E+00
sterol transport (GO:0015918)	17	0	0.08	-	 < 0.01	1.00E+00
phospholipid transport (GO:0015914)	32	0	0.15	-	 < 0.01	1.00E+00
positive regulation of cell differentiation (GO:0045597)	51	0	0.25	-	 < 0.01	1.00E+00
inorganic cation transmembrane transport (GO:0098662)	209	0	1.01	-	 < 0.01	6.28E-01
inorganic anion transmembrane transport (GO:0098661)	40	0	0.19	-	 < 0.01	1.00E+00
regulation of muscle contraction (GO:0006937)	7	0	0.03	-	 < 0.01	1.00E+00
inorganic ion transmembrane transport (GO:0098660)	241	0	1.16	-	 < 0.01	6.33E-01
muscle contraction (GO:0006936)	32	0	0.15	-	 < 0.01	1.00E+00
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of cysteine-type endopeptidase activity (GO:2000116)	22	0	0.11	-	 < 0.01	1.00E+00
ribosomal subunit export from nucleus (GO:0000054)	8	0	0.04	-	 < 0.01	1.00E+00
positive regulation of mRNA catabolic process (GO:0061014)	30	0	0.14	-	 < 0.01	1.00E+00
pyrimidine-containing compound metabolic process (GO:0072527)	24	0	0.12	-	 < 0.01	1.00E+00
regulation of mRNA catabolic process (GO:0061013)	54	0	0.26	-	 < 0.01	1.00E+00
pyridine-containing compound metabolic process (GO:0072524)	36	0	0.17	-	 < 0.01	1.00E+00
purine-containing compound catabolic process (GO:0072523)	26	0	0.13	-	 < 0.01	1.00E+00
purine-containing compound biosynthetic process (GO:0072522)	53	0	0.26	-	 < 0.01	1.00E+00
purine-containing compound metabolic process (GO:0072521)	110	0	0.53	-	 < 0.01	1.00E+00
endoplasmic reticulum unfolded protein response (GO:0030968)	19	0	0.09	-	 < 0.01	1.00E+00
toll-like receptor signaling pathway (GO:0002224)	4	0	0.02	-	 < 0.01	1.00E+00
pattern recognition receptor signaling pathway (GO:0002221)	11	0	0.05	-	 < 0.01	1.00E+00
cilium-dependent cell motility (GO:0060285)	13	0	0.06	-	 < 0.01	1.00E+00
regulation of cell development (GO:0060284)	50	0	0.24	-	 < 0.01	1.00E+00
long-chain fatty acid transport (GO:0015909)	5	0	0.02	-	 < 0.01	1.00E+00
fatty acid transport (GO:0015908)	20	0	0.1	-	 < 0.01	1.00E+00
monoatomic anion transmembrane transport (GO:0098656)	39	0	0.19	-	 < 0.01	1.00E+00
monoatomic cation transmembrane transport (GO:0098655)	210	0	1.01	-	 < 0.01	6.28E-01
autophagosome assembly (GO:0000045)	48	0	0.23	-	 < 0.01	1.00E+00
transition metal ion transport (GO:0000041)	35	0	0.17	-	 < 0.01	1.00E+00
activation of innate immune response (GO:0002218)	12	0	0.06	-	 < 0.01	1.00E+00
negative regulation of peptidase activity (GO:0010466)	24	0	0.12	-	 < 0.01	1.00E+00
peptide biosynthetic process (GO:0043043)	132	0	0.64	-	 < 0.01	1.00E+00
endoplasmic reticulum tubular network organization (GO:0071786)	10	0	0.05	-	 < 0.01	1.00E+00
cilium assembly (GO:0060271)	114	0	0.55	-	 < 0.01	1.00E+00
male sex differentiation (GO:0046661)	1	0	0	-	 < 0.01	1.00E+00
protein localization to Golgi apparatus (GO:0034067)	9	0	0.04	-	 < 0.01	1.00E+00
inner ear development (GO:0048839)	2	0	0.01	-	 < 0.01	1.00E+00
establishment of spindle orientation (GO:0051294)	11	0	0.05	-	 < 0.01	1.00E+00
establishment of spindle localization (GO:0051293)	18	0	0.09	-	 < 0.01	1.00E+00
sarcomere organization (GO:0045214)	15	0	0.07	-	 < 0.01	1.00E+00
